onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	mode	pdOnTS	pdOffTS
2983.7509982191273	0.5069600331707989	trials	210513TX	p29	Z11111	99	32.0	2.0	2983.9009982191274	2984.107958252298
2984.1612782848847	0.5269600363762947	trials	210513TX	p29	Z11111	27	8.0	2.0	2984.311278284885	2984.538238321261
2984.591558353848	0.5370000379853082	trials	210513TX	p29	Z11111	47	15.0	1.0	2984.741558353848	2984.9785583918333
2985.0618784292283	0.5269600363762947	trials	210513TX	p29	Z11111	119	39.0	1.0	2985.2118784292284	2985.4388384656045
2985.502158499794	0.5270000363825602	trials	210513TX	p29	Z11111	102	33.0	2.0	2985.652158499794	2985.8791585361764
2985.9324785687636	0.5269600363762947	trials	210513TX	p29	Z11111	0			2986.0824785687637	2986.30943860514
2986.3727586393293	0.5269600363762947	trials	210513TX	p29	Z11111	110	36.0	1.0	2986.5227586393294	2986.7497186757055
2990.4254792888783	0.4969600315680509	trials	210513TX	p29	Z11111	84	27.0	2.0	2990.5754792888783	2990.772439320446
2990.8657993594506	0.52696003637584	trials	210513TX	p29	Z11111	21	6.0	2.0	2991.0157993594507	2991.2427593958264
2991.336119434831	0.5269600363762947	trials	210513TX	p29	Z11111	61	20.0	0.0	2991.486119434831	2991.713079471207
2991.806399510205	0.5270000363825602	trials	210513TX	p29	Z11111	101	33.0	1.0	2991.9563995102053	2992.1833995465877
2992.2667195839826	0.5370000379853082	trials	210513TX	p29	Z11111	53	17.0	1.0	2992.4167195839827	2992.653719621968
2992.7370396593633	0.5270000363825602	trials	210513TX	p29	Z11111	105	34.0	2.0	2992.8870396593634	2993.1140396957458
2993.1773597299352	0.5269600363762947	trials	210513TX	p29	Z11111	58	19.0	0.0	2993.3273597299353	2993.5543197663114
2997.2100403762724	0.5069600331707989	trials	210513TX	p29	Z11111	89	29.0	1.0	2997.3600403762725	2997.567000409443
2997.660360448447	0.5269600363762947	trials	210513TX	p29	Z11111	52	17.0	0.0	2997.810360448447	2998.0373204848233
2998.120680522225	0.5369600379790427	trials	210513TX	p29	Z11111	118	39.0	0.0	2998.270680522225	2998.507640560204
2998.5609605927907	0.5270000363825602	trials	210513TX	p29	Z11111	60	19.0	2.0	2998.710960592791	2998.937960629173
2999.0312806681713	0.5269600363762947	trials	210513TX	p29	Z11111	0			2999.1812806681714	2999.4082407045476
2999.4615607371343	0.5270000363825602	trials	210513TX	p29	Z11111	70	23.0	0.0	2999.6115607371344	2999.8385607735167
2999.931880812515	0.5270000363825602	trials	210513TX	p29	Z11111	77	25.0	1.0	3000.081880812515	3000.3088808488974
3004.084681478104	0.5069600331707989	trials	210513TX	p29	Z11111	22	7.0	0.0	3004.234681478104	3004.4416415112746
3004.535001550279	0.52696003637584	trials	210513TX	p29	Z11111	50	16.0	1.0	3004.685001550279	3004.911961586655
3004.99528162405	0.5370000379853082	trials	210513TX	p29	Z11111	44	14.0	1.0	3005.1452816240503	3005.3822816620354
3005.465601699431	0.49696003156759616	trials	210513TX	p29	Z11111	103	34.0	0.0	3005.615601699431	3005.8125617309984
3008.1174021244474	0.5069600331707989	trials	210513TX	p29	Z11111	36	11.0	2.0	3008.2674021244475	3008.474362157618
3008.527682190205	0.5269600363762947	trials	210513TX	p29	Z11111	64	21.0	0.0	3008.677682190205	3008.904642226581
3008.9980022655855	0.5269600363762947	trials	210513TX	p29	Z11111	116	38.0	1.0	3009.1480022655855	3009.3749623019617
3009.468322340966	0.52696003637584	trials	210513TX	p29	Z11111	26	8.0	1.0	3009.618322340966	3009.845282377342
3009.9286424147435	0.5369600379790427	trials	210513TX	p29	Z11111	13	4.0	0.0	3010.0786424147436	3010.3156024527225
3010.3989224901175	0.5270000363825602	trials	210513TX	p29	Z11111	76	25.0	0.0	3010.5489224901175	3010.7759225265
3010.869242565498	0.5270000363825602	trials	210513TX	p29	Z11111	55	18.0	0.0	3011.019242565498	3011.2462426018806
3014.972003223067	0.5069600331707989	trials	210513TX	p29	Z11111	35	11.0	1.0	3015.122003223067	3015.328963256238
3015.422323295242	0.52696003637584	trials	210513TX	p29	Z11111	34	11.0	0.0	3015.5723232952423	3015.799283331618
3015.8726033674106	0.5270000363825602	trials	210513TX	p29	Z11111	0			3016.0226033674107	3016.249603403793
3016.3029234363803	0.52696003637584	trials	210513TX	p29	Z11111	98	32.0	1.0	3016.4529234363804	3016.679883472756
3016.743203506946	0.52696003637584	trials	210513TX	p29	Z11111	80	26.0	1.0	3016.893203506946	3017.1201635433217
3017.173483575909	0.5270000363825602	trials	210513TX	p29	Z11111	65	21.0	1.0	3017.323483575909	3017.5504836122914
3017.6438036512895	0.5270000363825602	trials	210513TX	p29	Z11111	40	13.0	0.0	3017.7938036512896	3018.020803687672
3021.866644328104	0.5069600331707989	trials	210513TX	p29	Z11111	7	2.0	0.0	3022.016644328104	3022.2236043612747
3022.3069643986764	0.5269600363762947	trials	210513TX	p29	Z11111	1	0.0	0.0	3022.4569643986765	3022.6839244350526
3022.777284474057	0.52696003637584	trials	210513TX	p29	Z11111	16	5.0	0.0	3022.927284474057	3023.154244510433
3023.2476045494373	0.5269600363762947	trials	210513TX	p29	Z11111	100	33.0	0.0	3023.3976045494373	3023.6245645858135
3023.6778846184	0.5269600363762947	trials	210513TX	p29	Z11111	75	24.0	2.0	3023.8278846184003	3024.0548446547764
3024.148204693781	0.5269600363762947	trials	210513TX	p29	Z11111	37	12.0	0.0	3024.298204693781	3024.525164730157
3024.6185247691615	0.52696003637584	trials	210513TX	p29	Z11111	66	21.0	2.0	3024.7685247691616	3024.995484805537
3028.7713254347505	0.5069200331645334	trials	210513TX	p29	Z11111	14	4.0	1.0	3028.9213254347505	3029.128245467915
3029.211605505316	0.5369600379790427	trials	210513TX	p29	Z11111	25	8.0	0.0	3029.361605505316	3029.598565543295
3029.6518855758823	0.5270000363825602	trials	210513TX	p29	Z11111	106	35.0	0.0	3029.8018855758824	3030.0288856122647
3030.0822056448515	0.5369600379790427	trials	210513TX	p29	Z11111	97	32.0	0.0	3030.2322056448515	3030.4691656828304
3030.5324857170203	0.5370000379853082	trials	210513TX	p29	Z11111	93	30.0	2.0	3030.6824857170204	3030.9194857550056
3033.0842061259964	0.5069600331707989	trials	210513TX	p29	Z11111	54	17.0	2.0	3033.2342061259965	3033.441166159167
3033.5345261981715	0.5269600363762947	trials	210513TX	p29	Z11111	28	9.0	0.0	3033.6845261981716	3033.9114862345477
3033.9948062719427	0.5370000379853082	trials	210513TX	p29	Z11111	23	7.0	1.0	3034.144806271943	3034.381806309928
3034.4651263473233	0.5270000363825602	trials	210513TX	p29	Z11111	112	37.0	0.0	3034.6151263473234	3034.842126383706
3034.9354464227035	0.5270000363825602	trials	210513TX	p29	Z11111	73	24.0	0.0	3035.0854464227036	3035.312446459086
3035.365766491673	0.5369600379790427	trials	210513TX	p29	Z11111	57	18.0	2.0	3035.5157664916733	3035.752726529652
3035.836046567047	0.5370000379853082	trials	210513TX	p29	Z11111	113	37.0	1.0	3035.986046567047	3036.2230466050323
3040.6993273465087	0.49696003156759616	trials	210513TX	p29	Z11111	114	37.0	2.0	3040.8493273465087	3041.046287378076
3041.109607412266	0.5269600363762947	trials	210513TX	p29	Z11111	9	2.0	2.0	3041.259607412266	3041.4865674486423
3041.549927482838	0.5169600347735468	trials	210513TX	p29	Z11111	6	1.0	2.0	3041.699927482838	3041.9168875176115
3041.9802075518014	0.52696003637584	trials	210513TX	p29	Z11111	51	16.0	2.0	3042.1302075518015	3042.357167588177
3042.440527625579	0.5369600379790427	trials	210513TX	p29	Z11111	42	13.0	2.0	3042.590527625579	3042.827487663558
3042.9108477009595	0.5269600363762947	trials	210513TX	p29	Z11111	29	9.0	1.0	3043.0608477009596	3043.2878077373357
3043.361127773128	0.5369600379790427	trials	210513TX	p29	Z11111	115	38.0	0.0	3043.511127773128	3043.748087811107
3047.4238484242796	0.4969600315680509	trials	210513TX	p29	Z11111	4	1.0	0.0	3047.5738484242797	3047.7708084558476
3047.864168494852	0.52696003637584	trials	210513TX	p29	Z11111	17	5.0	1.0	3048.014168494852	3048.241128531228
3048.3044485654177	0.5270000363825602	trials	210513TX	p29	Z11111	56	18.0	1.0	3048.454448565418	3048.6814486018
3048.764768639195	0.5269600363762947	trials	210513TX	p29	Z11111	8	2.0	1.0	3048.9147686391952	3049.1417286755714
3049.2050487097613	0.5270000363825602	trials	210513TX	p29	Z11111	81	26.0	2.0	3049.3550487097614	3049.5820487461438
3049.6653687835387	0.5370000379853082	trials	210513TX	p29	Z11111	78	25.0	2.0	3049.815368783539	3050.052368821524
3050.105648854105	0.5270000363825602	trials	210513TX	p29	Z11111	68	22.0	1.0	3050.255648854105	3050.4826488904873
3054.2384495164883	0.5069600331707989	trials	210513TX	p29	Z11111	18	5.0	2.0	3054.3884495164884	3054.595409549659
3054.6887695886635	0.52696003637584	trials	210513TX	p29	Z11111	109	36.0	0.0	3054.8387695886636	3055.0657296250392
3055.1590896640437	0.5269600363762947	trials	210513TX	p29	Z11111	74	24.0	1.0	3055.3090896640438	3055.53604970042
3055.619369737815	0.5069600331707989	trials	210513TX	p29	Z11111	20	6.0	1.0	3055.769369737815	3055.9763297709856
3056.0596898083872	0.5269600363762947	trials	210513TX	p29	Z11111	24	7.0	2.0	3056.2096898083873	3056.4366498447635
3056.530009883768	0.52696003637584	trials	210513TX	p29	Z11111	62	20.0	1.0	3056.680009883768	3056.9069699201436
3056.9802899559363	0.5269600363762947	trials	210513TX	p29	Z11111	2	0.0	1.0	3057.1302899559364	3057.3572499923125
3061.0830506135053	0.5069600331707989	trials	210513TX	p29	Z11111	46	15.0	0.0	3061.2330506135054	3061.440010646676
3061.5233706840777	0.5369600379785879	trials	210513TX	p29	Z11111	87	28.0	2.0	3061.673370684078	3061.910330722056
3061.993690759458	0.5269600363762947	trials	210513TX	p29	Z11111	11	3.0	1.0	3062.143690759458	3062.370650795834
3062.463970834832	0.5270000363825602	trials	210513TX	p29	Z11111	117	38.0	2.0	3062.613970834832	3062.8409708712143
3062.9342909102124	0.5270000363825602	trials	210513TX	p29	Z11111	79	26.0	0.0	3063.0842909102125	3063.311290946595
3063.364610979182	0.52696003637584	trials	210513TX	p29	Z11111	49	16.0	0.0	3063.514610979182	3063.741571015558
3063.8048910497478	0.5269600363762947	trials	210513TX	p29	Z11111	41	13.0	1.0	3063.954891049748	3064.181851086124
3067.9176517089195	0.5069600331707989	trials	210513TX	p29	Z11111	5	1.0	1.0	3068.0676517089196	3068.27461174209
3068.3679717810946	0.52696003637584	trials	210513TX	p29	Z11111	86	28.0	1.0	3068.5179717810947	3068.7449318174704
3068.838291856475	0.5269600363762947	trials	210513TX	p29	Z11111	107	35.0	1.0	3068.988291856475	3069.215251892851
3069.268571925438	0.52696003637584	trials	210513TX	p29	Z11111	91	30.0	0.0	3069.4185719254383	3069.645531961814
3069.708851996004	0.5270000363825602	trials	210513TX	p29	Z11111	104	34.0	1.0	3069.858851996004	3070.0858520323864
3070.179172071384	0.5270000363825602	trials	210513TX	p29	Z11111	30	9.0	2.0	3070.329172071384	3070.5561721077665
3070.6094921403537	0.5269600363762947	trials	210513TX	p29	Z11111	85	28.0	0.0	3070.759492140354	3070.98645217673
3074.8322928171624	0.5070000331766096	trials	210513TX	p29	Z11111	94	31.0	0.0	3074.9822928171625	3075.189292850339
3075.2726128877343	0.5369600379790427	trials	210513TX	p29	Z11111	95	31.0	1.0	3075.4226128877344	3075.6595729257133
3075.742932963115	0.52696003637584	trials	210513TX	p29	Z11111	31	10.0	0.0	3075.892932963115	3076.1198929994907
3076.1932130352834	0.5270000363825602	trials	210513TX	p29	Z11111	39	12.0	2.0	3076.3432130352835	3076.570213071666
3076.6635331106636	0.5270000363825602	trials	210513TX	p29	Z11111	12	3.0	2.0	3076.8135331106637	3077.040533147046
3077.1338531860442	0.5270000363825602	trials	210513TX	p29	Z11111	82	27.0	0.0	3077.2838531860443	3077.5108532224267
3077.604173261425	0.5270000363825602	trials	210513TX	p29	Z11111	69	22.0	2.0	3077.754173261425	3077.9811732978073
3081.6568939109734	0.5069600331707989	trials	210513TX	p29	Z11111	72	23.0	2.0	3081.8068939109735	3082.013853944144
3082.097213981546	0.5269600363762947	trials	210513TX	p29	Z11111	71	23.0	1.0	3082.247213981546	3082.474174017922
3082.5675340569264	0.52696003637584	trials	210513TX	p29	Z11111	19	6.0	0.0	3082.7175340569265	3082.944494093302
3083.0378541323066	0.5269600363762947	trials	210513TX	p29	Z11111	15	4.0	2.0	3083.1878541323067	3083.414814168683
3083.488134204475	0.5069600331707989	trials	210513TX	p29	Z11111	43	14.0	0.0	3083.638134204475	3083.8450942376458
3083.93845427665	0.4969600315680509	trials	210513TX	p29	Z11111	33	10.0	2.0	3084.0884542766503	3084.285414308218
3084.368734345613	0.5369600379790427	trials	210513TX	p29	Z11111	48	15.0	2.0	3084.518734345613	3084.755694383592
3088.7416950464885	0.5069600331707989	trials	210513TX	p29	Z11111	38	12.0	1.0	3088.8916950464886	3089.0986550796592
3089.1619751138487	0.5269600363762947	trials	210513TX	p29	Z11111	90	29.0	2.0	3089.311975113849	3089.538935150225
3089.592255182812	0.52696003637584	trials	210513TX	p29	Z11111	45	14.0	2.0	3089.742255182812	3089.969215219188
3090.0625752581923	0.5269600363762947	trials	210513TX	p29	Z11111	63	20.0	2.0	3090.2125752581924	3090.4395352945685
3090.492855327155	0.5269600363762947	trials	210513TX	p29	Z11111	32	10.0	1.0	3090.6428553271553	3090.8698153635314
3090.9331753977276	0.5269600363762947	trials	210513TX	p29	Z11111	88	29.0	0.0	3091.0831753977277	3091.310135434104
3091.393455471499	0.5370000379853082	trials	210513TX	p29	Z11111	59	19.0	1.0	3091.543455471499	3091.780455509484
3099.1286567112566	0.5069600331707989	trials	210513TX	p29	Z11111	111	36.0	2.0	3099.2786567112566	3099.4856167444273
3101.770457134671	0.5069600331703441	trials	210513TX	p29	Z11111	92	30.0	1.0	3101.920457134671	3102.127417167841
3102.2207772068455	0.5269600363762947	trials	210513TX	p29	Z11111	108	35.0	2.0	3102.3707772068456	3102.5977372432217
3102.6910572822194	0.527000036383015	trials	210513TX	p29	Z11111	67	22.0	0.0	3102.8410572822195	3103.0680573186023
3103.1513773559973	0.5370000379853082	trials	210513TX	p29	Z11111	96	31.0	2.0	3103.3013773559974	3103.5383773939825
3103.621697431378	0.49696003156759616	trials	210513TX	p29	Z11111	120	39.0	2.0	3103.771697431378	3103.9686574629454
3104.0619775019436	0.5270000363825602	trials	210513TX	p29	Z11111	10	3.0	0.0	3104.2119775019437	3104.438977538326
3104.492297570913	0.5269600363762947	trials	210513TX	p29	Z11111	83	27.0	1.0	3104.642297570913	3104.869257607289
3108.6150582316877	0.5069600331703441	trials	210513TX	p29	Z11111	0			3108.765058231688	3108.972018264858
3109.025338297445	0.5269600363762947	trials	210513TX	p29	Z11111	3	0.0	2.0	3109.1753382974453	3109.4022983338214
3109.495658372826	0.52696003637584	trials	210513TX	p29	Z11111	104	34.0	1.0	3109.645658372826	3109.8726184092016
3109.965978448206	0.5269600363762947	trials	210513TX	p29	Z11111	101	33.0	1.0	3110.115978448206	3110.342938484582
3112.6077388716135	0.5069600331707989	trials	210513TX	p29	Z11111	2	0.0	1.0	3112.7577388716136	3112.964698904784
3113.0580589437886	0.5269600363762947	trials	210513TX	p29	Z11111	16	5.0	0.0	3113.2080589437887	3113.435018980165
3113.5283790191693	0.52696003637584	trials	210513TX	p29	Z11111	30	9.0	2.0	3113.6783790191694	3113.905339055545
3113.9886590929405	0.5370000379853082	trials	210513TX	p29	Z11111	117	38.0	2.0	3114.1386590929405	3114.3756591309257
3114.4589791683206	0.5270000363825602	trials	210513TX	p29	Z11111	15	4.0	2.0	3114.6089791683207	3114.835979204703
3114.9292992437013	0.5270000363825602	trials	210513TX	p29	Z11111	107	35.0	1.0	3115.0792992437014	3115.3062992800837
3115.3996193190815	0.5269600363762947	trials	210513TX	p29	Z11111	55	18.0	0.0	3115.5496193190816	3115.7765793554577
3119.5824599894854	0.5069200331645334	trials	210513TX	p29	Z11111	4	1.0	0.0	3119.7324599894855	3119.93938002265
3120.002740056846	0.52696003637584	trials	210513TX	p29	Z11111	119	39.0	1.0	3120.152740056846	3120.379700093222
3120.463020130617	0.5370000379853082	trials	210513TX	p29	Z11111	71	23.0	1.0	3120.6130201306173	3120.8500201686024
3120.9333402059974	0.5270000363825602	trials	210513TX	p29	Z11111	81	26.0	2.0	3121.0833402059975	3121.31034024238
3121.37366027657	0.5269600363762947	trials	210513TX	p29	Z11111	52	17.0	0.0	3121.52366027657	3121.750620312946
3121.8039403455327	0.5269600363762947	trials	210513TX	p29	Z11111	47	15.0	1.0	3121.953940345533	3122.180900381909
3122.2342204144957	0.5370000379853082	trials	210513TX	p29	Z11111	72	23.0	2.0	3122.3842204144958	3122.621220452481
3126.357021075277	0.5069200331640786	trials	210513TX	p29	Z11111	39	12.0	2.0	3126.507021075277	3126.713941108441
3126.8073011474453	0.5269600363762947	trials	210513TX	p29	Z11111	14	4.0	1.0	3126.9573011474454	3127.1842611838215
3127.267621221223	0.5369600379790427	trials	210513TX	p29	Z11111	5	1.0	1.0	3127.4176212212233	3127.654581259202
3127.7379412966034	0.5269600363762947	trials	210513TX	p29	Z11111	43	14.0	0.0	3127.8879412966035	3128.1149013329796
3128.1782213671695	0.52696003637584	trials	210513TX	p29	Z11111	94	31.0	0.0	3128.3282213671696	3128.5551814035452
3128.638541440947	0.5369600379790427	trials	210513TX	p29	Z11111	0			3128.788541440947	3129.025501478926
3129.1088615163276	0.5369600379790427	trials	210513TX	p29	Z11111	76	25.0	0.0	3129.2588615163277	3129.4958215543065
3133.201622172294	0.5069600331707989	trials	210513TX	p29	Z11111	85	28.0	0.0	3133.351622172294	3133.5585822054645
3133.6519022444622	0.5169600347735468	trials	210513TX	p29	Z11111	98	32.0	1.0	3133.8019022444623	3134.0188622792357
3136.2937026678765	0.5069600331707989	trials	210513TX	p29	Z11111	84	27.0	2.0	3136.4437026678766	3136.650662701047
3136.703982733634	0.5269600363762947	trials	210513TX	p29	Z11111	49	16.0	0.0	3136.853982733634	3137.08094277001
3137.1442628041996	0.5269600363762947	trials	210513TX	p29	Z11111	115	38.0	0.0	3137.2942628041997	3137.521222840576
3137.574542873163	0.5270000363825602	trials	210513TX	p29	Z11111	51	16.0	2.0	3137.724542873163	3137.9515429095454
3141.076903434503	0.5270000363825602	trials	210513TX	p29	Z11111	103	34.0	0.0	3141.226903434503	3141.4539034708855
3141.507183503466	0.5270000363825602	trials	210513TX	p29	Z11111	28	9.0	0.0	3141.657183503466	3141.8841835398484
3141.977503578846	0.5270000363825602	trials	210513TX	p29	Z11111	56	18.0	1.0	3142.1275035788462	3142.3545036152286
3148.1717045716205	0.49692003156178544	trials	210513TX	p29	Z11111	73	24.0	0.0	3148.3217045716206	3148.518624603182
3148.6119846421866	0.52696003637584	trials	210513TX	p29	Z11111	31	10.0	0.0	3148.7619846421867	3148.9889446785623
3149.0522647127523	0.5270000363825602	trials	210513TX	p29	Z11111	6	1.0	2.0	3149.2022647127524	3149.4292647491347
3151.734065142577	0.4969600315680509	trials	210513TX	p29	Z11111	37	12.0	0.0	3151.884065142577	3152.081025174145
