onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	position	pdOnTS	pdOffTS
5237.521705560206	0.5169200395621374	trials	210610SL	p50	Z11111	38	7.0	2.0	5237.671705560206	5237.888625599769
5237.962025640514	0.4968800359065426	trials	210610SL	p50	Z11111	27	11.0	1.0	5238.112025640514	5238.308905676421
5238.362305713519	0.5368800432024727	trials	210610SL	p50	Z11111	28	12.0	1.0	5238.512305713519	5238.749185756722
5238.832625799298	0.4968800359074521	trials	210610SL	p50	Z11111	73	12.0	4.0	5238.982625799297	5239.179505835205
5239.252905875951	0.4968800359065426	trials	210610SL	p50	Z11111	7	6.0	0.0	5239.402905875951	5239.599785911858
5239.683185954427	0.5068800377302978	trials	210610SL	p50	Z11111	19	3.0	1.0	5239.833185954427	5240.040065992158
5240.123466034727	0.4968800359074521	trials	210610SL	p50	Z11111	43	12.0	2.0	5240.273466034727	5240.470346070635
5244.106146761106	0.5169200395621374	trials	210610SL	p50	Z11111	0			5244.256146761106	5244.473066800669
5246.617867219205	0.5068800377312073	trials	210610SL	p50	Z11111	39	8.0	2.0	5246.767867219205	5246.974747256937
5247.028147294034	0.4968800359074521	trials	210610SL	p50	Z11111	24	8.0	1.0	5247.178147294034	5247.375027329942
5247.468427374334	0.4968800359074521	trials	210610SL	p50	Z11111	61	0.0	4.0	5247.618427374334	5247.815307410242
5247.868707447339	0.5268800413787176	trials	210610SL	p50	Z11111	42	11.0	2.0	5248.018707447339	5248.245587488718
5248.298987525815	0.5369200432105572	trials	210610SL	p50	Z11111	0			5248.448987525815	5248.685907569026
5248.749307607947	0.4968800359074521	trials	210610SL	p50	Z11111	47	1.0	3.0	5248.899307607947	5249.096187643855
5249.189587688247	0.4968800359074521	trials	210610SL	p50	Z11111	5	4.0	0.0	5249.339587688247	5249.536467724155
5253.102228401853	0.5168800395549624	trials	210610SL	p50	Z11111	14	13.0	0.0	5253.252228401852	5253.469108441408
5253.532508480329	0.4968800359074521	trials	210610SL	p50	Z11111	68	7.0	4.0	5253.682508480329	5253.879388516237
5253.972788560629	0.4969200359146271	trials	210610SL	p50	Z11111	71	10.0	4.0	5254.122788560629	5254.319708596544
5254.403108639113	0.4968800359065426	trials	210610SL	p50	Z11111	46	0.0	3.0	5254.553108639113	5254.74998867502
5256.904789095381	0.5068800377312073	trials	210610SL	p50	Z11111	45	14.0	2.0	5257.05478909538	5257.261669133112
5257.315069170209	0.5268800413787176	trials	210610SL	p50	Z11111	40	9.0	2.0	5257.465069170209	5257.6919492115885
5257.755349250509	0.5269200413858925	trials	210610SL	p50	Z11111	52	6.0	3.0	5257.905349250509	5258.132269291896
