onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
1419.2476766030695	0.5158793675036577	trials	191023SL	p11	Z08115	146	10.0	45.0	8	1419.3976766030696	1419.613555970573
1419.6779553424128	0.5158793675036577	trials	191023SL	p11	Z08115	15	14.0	0.0	4	1419.827955342413	1420.0438347099164
1420.0982341110546	0.5258793382051863	trials	191023SL	p11	Z08115	212	1.0	270.0	8	1420.2482341110547	1420.4741134492597
1420.5385128210992	0.5159193673866866	trials	191023SL	p11	Z08115	248	7.0	0.0	12	1420.6885128210993	1420.9044321884858
1420.9688315603253	0.5258793382051863	trials	191023SL	p11	Z08115	5	4.0	0.0	4	1421.1188315603254	1421.3447108985304
1421.40911027037	0.5158793675036577	trials	191023SL	p11	Z08115	67	6.0	180.0	4	1421.5591102703702	1421.7749896378737
1425.151579305457	0.5158793675036577	trials	191023SL	p11	Z08115	2	1.0	0.0	4	1425.3015793054572	1425.5174586729606
1425.601897986086	0.5158793675036577	trials	191023SL	p11	Z08115	297	11.0	135.0	12	1425.751897986086	1425.9677773535896
1426.0321767254293	0.5158793675036577	trials	191023SL	p11	Z08115	76	0.0	225.0	4	1426.1821767254294	1426.3980560929328
1426.4824554061754	0.5258793382051863	trials	191023SL	p11	Z08115	230	4.0	315.0	8	1426.6324554061755	1426.8583347443805
1426.9127341455187	0.5259193380879879	trials	191023SL	p11	Z08115	71	10.0	180.0	4	1427.0627341455188	1427.2886534836066
1427.353052855446	0.5258793382051863	trials	191023SL	p11	Z08115	251	10.0	0.0	12	1427.5030528554462	1427.7289321936512
1430.935402359661	0.5158793675036577	trials	191023SL	p11	Z08115	89	13.0	225.0	4	1431.0854023596612	1431.3012817271647
1431.3656810990044	0.5258793382051863	trials	191023SL	p11	Z08115	98	7.0	270.0	4	1431.5156810990045	1431.7415604372095
1431.8059998089318	0.5158393676208561	trials	191023SL	p11	Z08115	91	0.0	270.0	4	1431.955999808932	1432.1718391765526
1432.236278548275	0.5258793382051863	trials	191023SL	p11	Z08115	18	2.0	45.0	4	1432.3862785482752	1432.6121578864802
