onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	mode	pdOnTS	pdOffTS
2025.635450928868	0.5268817788958131	trials	210624TX	p59	Z11111	27	8.0	2.0	2025.7854509288682	2026.0123327077638
2026.0857344593737	0.49688154367504467	trials	210624TX	p59	Z11111	0			2026.2357344593738	2026.4326160030487
2026.486017597845	0.5268817788958131	trials	210624TX	p59	Z11111	106	35.0	0.0	2026.636017597845	2026.8628993767406
2026.9163009715367	0.5068816220821191	trials	210624TX	p59	Z11111	0			2027.0663009715367	2027.2731825936187
2027.3265841884147	0.5268817788958131	trials	210624TX	p59	Z11111	30	9.0	2.0	2027.4765841884148	2027.7034659673104
2027.7568675621064	0.49688154367527204	trials	210624TX	p59	Z11111	20	6.0	1.0	2027.9068675621065	2028.1037491057816
2028.187190936112	0.5068816220818917	trials	210624TX	p59	Z11111	42	13.0	2.0	2028.3371909361122	2028.5440725581939
2031.7396187893767	0.5068416217684444	trials	210624TX	p59	Z11111	45	14.0	2.0	2031.8896187893768	2032.096460411145
2032.1699021630686	0.49684154336137	trials	210624TX	p59	Z11111	119	39.0	1.0	2032.3199021630687	2032.51674370643
2032.5701453012261	0.5068816220818917	trials	210624TX	p59	Z11111	107	35.0	1.0	2032.7201453012262	2032.927026923308
2033.0104687536384	0.49684154336137	trials	210624TX	p59	Z11111	29	9.0	1.0	2033.1604687536385	2033.3573102969997
2033.4407521273301	0.49688154367504467	trials	210624TX	p59	Z11111	83	27.0	1.0	2033.5907521273302	2033.787633671005
2033.8410352658013	0.5368818573026601	trials	210624TX	p59	Z11111	8	2.0	1.0	2033.9910352658014	2034.227917123104
2034.291318796307	0.5068816220818917	trials	210624TX	p59	Z11111	15	4.0	2.0	2034.441318796307	2034.6482004183888
2037.8937870419197	0.5268817788958131	trials	210624TX	p59	Z11111	12	3.0	2.0	2038.0437870419198	2038.2706688208154
2038.344110572739	0.49684154336137	trials	210624TX	p59	Z11111	60	19.0	2.0	2038.4941105727391	2038.6909521161003
2038.7743939464308	0.49684154336159736	trials	210624TX	p59	Z11111	25	8.0	0.0	2038.9243939464309	2039.1212354897923
2039.1846771633088	0.5268817788958131	trials	210624TX	p59	Z11111	103	34.0	0.0	2039.334677163309	2039.5615589422046
2039.6349606938145	0.5269217792092604	trials	210624TX	p59	Z11111	32	10.0	1.0	2039.7849606938146	2040.0118824730237
2040.0852842246336	0.5268817788958131	trials	210624TX	p59	Z11111	111	36.0	2.0	2040.2352842246337	2040.4621660035293
2040.5155675983256	0.5268817788955857	trials	210624TX	p59	Z11111	44	14.0	1.0	2040.6655675983257	2040.892449377221
