onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
541.3266002862365	0.5070000193679789	trials	210506SL	p25	Z11111	234	8.0	315.0	8	541.4766002862365	541.6836003056045
541.7368803246244	0.5070000193679789	trials	210506SL	p25	Z11111	70	9.0	180.0	4	541.8868803246244	542.0938803439924
542.1771603658193	0.4970000184322316	trials	210506SL	p25	Z11111	68	7.0	180.0	4	542.3271603658193	542.5241603842516
542.5774404032716	0.5170000203036125	trials	210506SL	p25	Z11111	54	8.0	135.0	4	542.7274404032715	542.9444404235752
542.9977204425951	0.4970000184323453	trials	210506SL	p25	Z11111	316	0.0	225.0	12	543.1477204425951	543.3447204610275
543.3980004800475	0.527000021239246	trials	210506SL	p25	Z11111	26	10.0	45.0	4	543.5480004800474	543.7750005012867
545.8796807122463	0.5069600193642145	trials	210506SL	p25	Z11111	164	13.0	90.0	8	546.0296807122463	546.2366407316106
546.2899607506342	0.49696001842858095	trials	210506SL	p25	Z11111	219	8.0	270.0	8	546.4399607506342	546.6369207690628
546.7202407908935	0.5069600193642145	trials	210506SL	p25	Z11111	333	2.0	270.0	12	546.8702407908935	547.0772008102578
547.1305208292814	0.49696001842858095	trials	210506SL	p25	Z11111	94	3.0	270.0	4	547.2805208292814	547.47748084771
547.5608008695407	0.49696001842846727	trials	210506SL	p25	Z11111	273	2.0	90.0	12	547.7108008695407	547.9077608879692
547.961080906993	0.49696001842858095	trials	210506SL	p25	Z11111	75	14.0	180.0	4	548.1110809069929	548.3080409254216
548.3713609453808	0.5269600212354817	trials	210506SL	p25	Z11111	288	2.0	135.0	12	548.5213609453808	548.7483209666163
551.9037212758868	0.49696001842858095	trials	210506SL	p25	Z11111	282	11.0	90.0	12	552.0537212758868	552.2506812943154
552.3140013142747	0.49696001842858095	trials	210506SL	p25	Z11111	84	8.0	225.0	4	552.4640013142747	552.6609613327033
552.7142813517271	0.527000021239246	trials	210506SL	p25	Z11111	79	3.0	225.0	4	552.8642813517271	553.0912813729664
553.1445613919863	0.5070000193679789	trials	210506SL	p25	Z11111	343	12.0	270.0	12	553.2945613919862	553.5015614113543
553.5848414331812	0.4970000184323453	trials	210506SL	p25	Z11111	251	10.0	0.0	12	553.7348414331811	553.9318414516135
554.0151614734441	0.49696001842858095	trials	210506SL	p25	Z11111	255	14.0	0.0	12	554.1651614734441	554.3621214918727
554.4154015108927	0.5370000221748796	trials	210506SL	p25	Z11111	154	3.0	90.0	8	554.5654015108927	554.8024015330676
557.9678018432737	0.5070000193679789	trials	210506SL	p25	Z11111	28	12.0	45.0	4	558.1178018432737	558.3248018626417
558.3980818835329	0.4970000184323453	trials	210506SL	p25	Z11111	277	6.0	90.0	12	558.5480818835329	558.7450819019652
558.7983619209853	0.49696001842846727	trials	210506SL	p25	Z11111	47	1.0	135.0	4	558.9483619209852	559.1453219394137
559.2086419593732	0.527000021239246	trials	210506SL	p25	Z11111	338	7.0	270.0	12	559.3586419593731	559.5856419806124
561.7803621999966	0.5070000193679789	trials	210506SL	p25	Z11111	211	0.0	270.0	8	561.9303621999966	562.1373622193646
562.1906422383846	0.5070000193678652	trials	210506SL	p25	Z11111	202	6.0	225.0	8	562.3406422383846	562.5476422577525
562.6309622795832	0.49696001842858095	trials	210506SL	p25	Z11111	12	11.0	0.0	4	562.7809622795832	562.9779222980118
563.0312023170318	0.4970000184322316	trials	210506SL	p25	Z11111	144	8.0	45.0	8	563.1812023170318	563.378202335464
563.4615223572947	0.5069600193642145	trials	210506SL	p25	Z11111	72	11.0	180.0	4	563.6115223572947	563.818482376659
563.871762395679	0.527000021239246	trials	210506SL	p25	Z11111	22	6.0	45.0	4	564.0217623956789	564.2487624169182
564.3020824359419	0.49696001842858095	trials	210506SL	p25	Z11111	148	12.0	45.0	8	564.4520824359419	564.6490424543705
567.7344027570877	0.5069600193641008	trials	210506SL	p25	Z11111	104	13.0	270.0	4	567.8844027570876	568.0913627764518
568.1546427964074	0.527000021239246	trials	210506SL	p25	Z11111	312	11.0	180.0	12	568.3046427964074	568.5316428176467
568.5849628366705	0.49696001842846727	trials	210506SL	p25	Z11111	77	1.0	225.0	4	568.7349628366704	568.931922855099
568.9852428741227	0.5269600212354817	trials	210506SL	p25	Z11111	130	9.0	0.0	8	569.1352428741227	569.3622028953582
569.4255229153176	0.527000021239246	trials	210506SL	p25	Z11111	306	5.0	180.0	12	569.5755229153176	569.8025229365569
569.8558029555768	0.4970000184323453	trials	210506SL	p25	Z11111	6	5.0	0.0	4	570.0058029555768	570.2028029740092
570.256082993029	0.49696001842858095	trials	210506SL	p25	Z11111	218	7.0	270.0	8	570.406082993029	570.6030430114577
573.7284033179174	0.5070000193679789	trials	210506SL	p25	Z11111	10	9.0	0.0	4	573.8784033179173	574.0854033372854
