onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
1413.5255685157065	0.5069600230551714	trials	210521SL	p34	Z11111	11	10.0	0.0	4	1413.6755685157066	1413.8825285387616
1413.965848564753	0.49696002194127686	trials	210521SL	p34	Z11111	292	6.0	135.0	12	1414.1158485647532	1414.3128085866942
1414.406168613804	0.5269600252831879	trials	210521SL	p34	Z11111	6	5.0	0.0	4	1414.5561686138042	1414.7831286390872
1414.8364486617365	0.5269600252831879	trials	210521SL	p34	Z11111	276	5.0	90.0	12	1414.9864486617366	1415.2134086870196
1415.2767287107831	0.5269600252831879	trials	210521SL	p34	Z11111	261	5.0	45.0	12	1415.4267287107832	1415.6536887360662
1415.70704875872	0.5269600252831879	trials	210521SL	p34	Z11111	235	9.0	315.0	8	1415.85704875872	1416.0840087840031
1416.1473288077666	0.5269600252831879	trials	210521SL	p34	Z11111	311	10.0	180.0	12	1416.2973288077667	1416.5242888330497
1419.789769213529	0.516960024169066	trials	210521SL	p34	Z11111	225	14.0	270.0	8	1419.9397692135292	1420.156729237698
1420.2100492603477	0.5269600252831879	trials	210521SL	p34	Z11111	192	11.0	180.0	8	1420.3600492603478	1420.5870092856308
1420.6403693082846	0.4969200219368304	trials	210521SL	p34	Z11111	13	12.0	0.0	4	1420.7903693082847	1420.9872893302213
1421.0806493573311	0.5269600252831879	trials	210521SL	p34	Z11111	41	10.0	90.0	4	1421.2306493573312	1421.4576093826142
1421.5109294052636	0.5269600252831879	trials	210521SL	p34	Z11111	290	4.0	135.0	12	1421.6609294052637	1421.8878894305467
1421.9512494543146	0.5269600252831879	trials	210521SL	p34	Z11111	9	8.0	0.0	4	1422.1012494543147	1422.3282094795977
1422.4115295055892	0.49696002194127686	trials	210521SL	p34	Z11111	314	13.0	180.0	12	1422.5615295055893	1422.7584895275304
1426.1340499202722	0.5269600252831879	trials	210521SL	p34	Z11111	146	10.0	45.0	8	1426.2840499202723	1426.5110099455553
1426.5943699715513	0.5269600252831879	trials	210521SL	p34	Z11111	297	11.0	135.0	12	1426.7443699715514	1426.9713299968344
1427.0346500205978	0.5269600252831879	trials	210521SL	p34	Z11111	180	14.0	135.0	8	1427.184650020598	1427.411610045881
1427.4649700685347	0.4969200219368304	trials	210521SL	p34	Z11111	107	1.0	315.0	4	1427.6149700685348	1427.8118900904715
1427.865210113121	0.5269600252831879	trials	210521SL	p34	Z11111	253	12.0	0.0	12	1428.0152101131212	1428.2421701384042
1428.3055301621719	0.5269600252831879	trials	210521SL	p34	Z11111	271	0.0	90.0	12	1428.455530162172	1428.682490187455
1428.7358102101045	0.5269600252831879	trials	210521SL	p34	Z11111	269	13.0	45.0	12	1428.8858102101046	1429.1127702353876
1432.3582506136388	0.5069600230553988	trials	210521SL	p34	Z11111	51	5.0	135.0	4	1432.508250613639	1432.715210636694
1432.7685306593435	0.5269600252831879	trials	210521SL	p34	Z11111	330	14.0	225.0	12	1432.9185306593436	1433.1454906846266
