onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	position	pdOnTS	pdOffTS
3393.5081438970496	0.5069200458260639	trials	210529SL	p40	Z11111	46	0.0	3.0	3393.6581438970497	3393.8650639428756
3393.918423987913	0.5269200502552849	trials	210529SL	p40	Z11111	21	5.0	1.0	3394.068423987913	3394.295344038168
3394.3887440920726	0.5269200502552849	trials	210529SL	p40	Z11111	69	8.0	4.0	3394.5387440920726	3394.7656641423278
3394.819024187365	0.5269200502548301	trials	210529SL	p40	Z11111	6	5.0	0.0	3394.969024187365	3395.1959442376196
3395.2593042848716	0.5269600502638241	trials	210529SL	p40	Z11111	19	3.0	1.0	3395.4093042848717	3395.6362643351354
3397.841064856643	0.5069200458260639	trials	210529SL	p40	Z11111	10	9.0	0.0	3397.991064856643	3398.1979849024688
3398.251344947506	0.5269200502548301	trials	210529SL	p40	Z11111	23	7.0	1.0	3398.401344947506	3398.6282649977607
3398.7016250472275	0.496920043611226	trials	210529SL	p40	Z11111	5	4.0	0.0	3398.8516250472276	3399.0485450908386
3399.1319451425284	0.496920043611226	trials	210529SL	p40	Z11111	2	1.0	0.0	3399.2819451425285	3399.4788651861395
3399.5722252400356	0.5269200502548301	trials	210529SL	p40	Z11111	75	14.0	4.0	3399.7222252400356	3399.9491452902903
3400.0025053353274	0.536960052478662	trials	210529SL	p40	Z11111	47	1.0	3.0	3400.1525053353275	3400.389465387806
3400.442825432843	0.5269200502552849	trials	210529SL	p40	Z11111	38	7.0	2.0	3400.5928254328433	3400.8197454830984
3404.325426292706	0.5069200458256091	trials	210529SL	p40	Z11111	68	7.0	4.0	3404.4754262927063	3404.6823463385317
3404.735706383569	0.5369200524701228	trials	210529SL	p40	Z11111	36	5.0	2.0	3404.885706383569	3405.122626436039
3405.175986481076	0.5269600502638241	trials	210529SL	p40	Z11111	29	13.0	1.0	3405.325986481076	3405.55294653134
3405.606306576377	0.5269200502552849	trials	210529SL	p40	Z11111	37	6.0	2.0	3405.756306576377	3405.983226626632
3406.0465866738837	0.5269200502552849	trials	210529SL	p40	Z11111	56	10.0	3.0	3406.1965866738838	3406.423506724139
3406.476866769176	0.5269600502642788	trials	210529SL	p40	Z11111	66	5.0	4.0	3406.626866769176	3406.85382681944
3406.9171868666917	0.5269200502552849	trials	210529SL	p40	Z11111	0			3407.067186866692	3407.294106916947
3410.869827742066	0.5069200458260639	trials	210529SL	p40	Z11111	1	0.0	0.0	3411.019827742066	3411.226747787892
3411.3101478395815	0.4968800436026868	trials	210529SL	p40	Z11111	50	4.0	3.0	3411.4601478395816	3411.657027883184
3411.740427934874	0.5069200458260639	trials	210529SL	p40	Z11111	8	7.0	0.0	3411.890427934874	3412.0973479807
3412.180708032381	0.496920043611226	trials	210529SL	p40	Z11111	72	11.0	4.0	3412.330708032381	3412.527628075992
3412.611028127682	0.5068800458170699	trials	210529SL	p40	Z11111	28	12.0	1.0	3412.761028127682	3412.967908173499
3413.021308218545	0.5269200502552849	trials	210529SL	p40	Z11111	22	6.0	1.0	3413.171308218545	3413.3982282688003
3413.4515883138374	0.5269200502548301	trials	210529SL	p40	Z11111	9	8.0	0.0	3413.6015883138375	3413.828508364092
3417.3341891737	0.5069200458256091	trials	210529SL	p40	Z11111	0			3417.4841891737	3417.6911092195255
3417.7444692645627	0.5069200458260639	trials	210529SL	p40	Z11111	18	2.0	1.0	3417.8944692645628	3418.1013893103886
