onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	position	pdOnTS	pdOffTS
2238.3025525561266	0.5068416469798649	trials	210625SL	p60	Z11111	23	7.0	1.0	2238.4525525561266	2238.6593942031063
2238.7328359822645	0.49684156735429497	trials	210625SL	p60	Z11111	10	9.0	0.0	2238.8828359822646	2239.0796775496187
2239.1330791692067	0.5268818065501364	trials	210625SL	p60	Z11111	72	11.0	4.0	2239.2830791692068	2239.5099609757567
2239.5734026752893	0.5268418062310047	trials	210625SL	p60	Z11111	0			2239.7234026752894	2239.9502444815203
2240.023726260997	0.49680156703561806	trials	210625SL	p60	Z11111	53	7.0	3.0	2240.1737262609972	2240.3705278280327
2240.454009687135	0.4968415673538402	trials	210625SL	p60	Z11111	4	3.0	0.0	2240.604009687135	2240.800851254489
2240.8742930336475	0.4968415673538402	trials	210625SL	p60	Z11111	47	1.0	3.0	2241.0242930336476	2241.2211346010013
2244.907045144494	0.5068416469798649	trials	210625SL	p60	Z11111	39	8.0	2.0	2245.057045144494	2245.263886791474
2245.337328570632	0.4968415673538402	trials	210625SL	p60	Z11111	52	6.0	3.0	2245.487328570632	2245.684170137986
2245.7776120763956	0.49684156735429497	trials	210625SL	p60	Z11111	22	6.0	1.0	2245.9276120763957	2246.12445364375
2246.1778952636564	0.4968415673538402	trials	210625SL	p60	Z11111	50	4.0	3.0	2246.3278952636565	2246.52473683101
2246.6081786897944	0.4968415673538402	trials	210625SL	p60	Z11111	0			2246.7581786897945	2246.955020257148
2247.0485021958766	0.4968415673538402	trials	210625SL	p60	Z11111	37	6.0	2.0	2247.1985021958767	2247.3953437632304
2247.4787856220146	0.4968415673538402	trials	210625SL	p60	Z11111	16	0.0	1.0	2247.6287856220147	2247.8256271893683
2251.551578051683	0.5268418062310047	trials	210625SL	p60	Z11111	74	13.0	4.0	2251.701578051683	2251.928419857914
2251.981861477821	0.5268418062310047	trials	210625SL	p60	Z11111	15	14.0	0.0	2252.131861477821	2252.358703284052
2252.4321450632106	0.5268818065496816	trials	210625SL	p60	Z11111	60	14.0	3.0	2252.5821450632106	2252.80902686976
2252.8824686489183	0.4968415673538402	trials	210625SL	p60	Z11111	63	2.0	4.0	2253.0324686489184	2253.229310216272
2253.282751836179	0.5268418062310047	trials	210625SL	p60	Z11111	14	13.0	0.0	2253.4327518361792	2253.65959364241
2253.713035262317	0.5068416469794101	trials	210625SL	p60	Z11111	35	4.0	2.0	2253.863035262317	2254.0698769092965
2254.1533187680807	0.4968415673538402	trials	210625SL	p60	Z11111	0			2254.3033187680808	2254.5001603354344
2258.656394623887	0.5068416469798649	trials	210625SL	p60	Z11111	55	9.0	3.0	2258.806394623887	2259.013236270867
2259.0666778907735	0.5068416469798649	trials	210625SL	p60	Z11111	57	11.0	3.0	2259.2166778907736	2259.4235195377532
2259.506961396537	0.49684156735429497	trials	210625SL	p60	Z11111	31	0.0	2.0	2259.656961396537	2259.853802963891
2259.907244583798	0.5268818065496816	trials	210625SL	p60	Z11111	25	9.0	1.0	2260.057244583798	2260.2841263903474
2260.3575681695056	0.49684156735429497	trials	210625SL	p60	Z11111	58	12.0	3.0	2260.5075681695057	2260.70440973686
2260.7578113564477	0.49684156735429497	trials	210625SL	p60	Z11111	19	3.0	1.0	2260.907811356448	2261.104652923802
2261.1580945437086	0.5368818861757063	trials	210625SL	p60	Z11111	71	10.0	4.0	2261.3080945437086	2261.544976429884
2265.29092745145	0.49684156735429497	trials	210625SL	p60	Z11111	46	0.0	3.0	2265.44092745145	2265.637769018804
2265.701170718018	0.5268818065496816	trials	210625SL	p60	Z11111	40	9.0	2.0	2265.8511707180182	2266.0780525245677
2268.0027490443686	0.5168817269241117	trials	210625SL	p60	Z11111	7	6.0	0.0	2268.1527490443686	2268.3696307712926
2268.4230323908805	0.5268818065501364	trials	210625SL	p60	Z11111	49	3.0	3.0	2268.5730323908806	2268.7999141974306
2268.853355817337	0.5268418062314595	trials	210625SL	p60	Z11111	43	12.0	2.0	2269.0033558173373	2269.2301976235685
2271.184934382565	0.5268418062310047	trials	210625SL	p60	Z11111	33	2.0	2.0	2271.3349343825653	2271.561776188796
2271.615217808703	0.4968415673538402	trials	210625SL	p60	Z11111	24	8.0	1.0	2271.7652178087033	2271.962059376057
