onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
2032.5769043511125	0.5153197459544572	trials	200114SL	p27	Z08115	314	13.0	180.0	12	2032.7269043511126	2032.9422240970669
2032.9971838552444	0.5253597341086333	trials	200114SL	p27	Z08115	195	14.0	180.0	8	2033.1471838552445	2033.372543589353
2033.437463335779	0.5153597459072898	trials	200114SL	p27	Z08115	27	11.0	45.0	4	2033.5874633357791	2033.8028230816863
2033.8677428281123	0.4953197695515428	trials	200114SL	p27	Z08115	323	7.0	225.0	12	2034.0177428281124	2034.2130625976638
2034.2980223204456	0.5053597577059463	trials	200114SL	p27	Z08115	284	13.0	90.0	12	2034.4480223204457	2034.6533820781515
2034.7383418009333	0.5353597223102042	trials	200114SL	p27	Z08115	335	4.0	270.0	12	2034.8883418009334	2035.1237015232434
2035.2086612460253	0.5253197341560281	trials	200114SL	p27	Z08115	209	13.0	225.0	8	2035.3586612460253	2035.5839809801812
2037.5701784597813	0.5253597341088607	trials	200114SL	p27	Z08115	23	7.0	45.0	4	2037.7201784597814	2037.9455381938901
2038.0004979520675	0.5253197341560281	trials	200114SL	p27	Z08115	15	14.0	0.0	4	2038.1504979520676	2038.3758176862234
2038.4407774326023	0.5153597459072898	trials	200114SL	p27	Z08115	98	7.0	270.0	4	2038.5907774326024	2038.8061371785095
2038.8710569249356	0.5253597341088607	trials	200114SL	p27	Z08115	166	0.0	135.0	8	2039.0210569249357	2039.2464166590444
2039.3113364054705	0.5153597459072898	trials	200114SL	p27	Z08115	307	6.0	180.0	12	2039.4613364054705	2039.6766961513777
2039.7416558977566	0.5253197341558007	trials	200114SL	p27	Z08115	102	11.0	270.0	4	2039.8916558977567	2040.1169756319123
2040.1919353664928	0.5053197577531137	trials	200114SL	p27	Z08115	91	0.0	270.0	4	2040.3419353664929	2040.5472551242458
2042.5034526392415	0.5253597341088607	trials	200114SL	p27	Z08115	45	14.0	90.0	4	2042.6534526392416	2042.8788123733502
2042.9437321197763	0.49535976950414806	trials	200114SL	p27	Z08115	44	13.0	90.0	4	2043.0937321197764	2043.2890918892804
2043.3640516238609	0.5353197223573716	trials	200114SL	p27	Z08115	0			0	2043.514051623861	2043.7493713462181
2043.814331092597	0.5053197577531137	trials	200114SL	p27	Z08115	234	8.0	315.0	8	2043.9643310925971	2044.16965085035
2044.254610573132	0.5253597341088607	trials	200114SL	p27	Z08115	5	4.0	0.0	4	2044.404610573132	2044.6299703072407
2044.6948900536668	0.5253597341086333	trials	200114SL	p27	Z08115	332	1.0	270.0	12	2044.8448900536669	2045.0702497877753
2045.1351695342016	0.5353997222630369	trials	200114SL	p27	Z08115	16	0.0	45.0	4	2045.2851695342017	2045.5205692564646
2047.4166868423458	0.5253597341086333	trials	200114SL	p27	Z08115	85	9.0	225.0	4	2047.566686842346	2047.7920465764544
2047.8570063228335	0.5153197459544572	trials	200114SL	p27	Z08115	0			0	2048.0070063228336	2048.222326068788
2048.287285815167	0.525359734108406	trials	200114SL	p27	Z08115	196	0.0	225.0	8	2048.437285815167	2048.662645549275
2048.7175653075	0.525359734108406	trials	200114SL	p27	Z08115	336	5.0	270.0	12	2048.8675653075	2049.0929250416084
2049.167884776189	0.5053197577531137	trials	200114SL	p27	Z08115	120	14.0	315.0	4	2049.317884776189	2049.523204533942
2049.6081642567237	0.49531976955177015	trials	200114SL	p27	Z08115	51	5.0	135.0	4	2049.758164256724	2049.9534840262754
2050.038443749057	0.5053197577531137	trials	200114SL	p27	Z08115	105	14.0	270.0	4	2050.188443749057	2050.39376350681
2052.4600408919277	0.5153197459544572	trials	200114SL	p27	Z08115	79	3.0	225.0	4	2052.610040891928	2052.825360637882
2052.890320384261	0.5253597341088607	trials	200114SL	p27	Z08115	191	10.0	180.0	8	2053.040320384261	2053.26568011837
2053.3205998765943	0.5253597341088607	trials	200114SL	p27	Z08115	150	14.0	45.0	8	2053.4705998765944	2053.695959610703
2053.760879357129	0.5153597459075172	trials	200114SL	p27	Z08115	275	4.0	90.0	12	2053.910879357129	2054.1262391030364
2054.2211988140198	0.525359734108406	trials	200114SL	p27	Z08115	123	2.0	0.0	8	2054.37119881402	2054.596558548128
2054.6614782945544	0.5253597341088607	trials	200114SL	p27	Z08115	78	2.0	225.0	4	2054.8114782945545	2055.036838028663
2055.101757775089	0.5053597577061737	trials	200114SL	p27	Z08115	107	1.0	315.0	4	2055.251757775089	2055.457117532795
2057.353275118629	0.5053197577531137	trials	200114SL	p27	Z08115	270	14.0	45.0	12	2057.503275118629	2057.708594876382
2057.773554622761	0.5253597341088607	trials	200114SL	p27	Z08115	285	14.0	90.0	12	2057.923554622761	2058.1489143568697
2058.203834115094	0.5253597341088607	trials	200114SL	p27	Z08115	228	2.0	315.0	8	2058.3538341150943	2058.579193849203
2058.654153583783	0.4953197695513154	trials	200114SL	p27	Z08115	182	1.0	180.0	8	2058.8041535837833	2058.9994733533345
2059.0844330761165	0.5053197577531137	trials	200114SL	p27	Z08115	199	3.0	225.0	8	2059.2344330761166	2059.4397528338695
2059.524712556651	0.5253597341088607	trials	200114SL	p27	Z08115	224	13.0	270.0	8	2059.6747125566512	2059.90007229076
2059.964992037186	0.5153597459070625	trials	200114SL	p27	Z08115	200	4.0	225.0	8	2060.1149920371863	2060.330351783093
2062.4766690737756	0.5153197459544572	trials	200114SL	p27	Z08115	97	6.0	270.0	4	2062.6266690737757	2062.84198881973
2062.9169485543102	0.49531976955177015	trials	200114SL	p27	Z08115	176	10.0	135.0	8	2063.0669485543103	2063.262268323862
2063.337228058442	0.4953197695513154	trials	200114SL	p27	Z08115	134	13.0	0.0	8	2063.4872280584423	2063.6825478279934
2063.7675075507755	0.5053197577531137	trials	200114SL	p27	Z08115	109	3.0	315.0	4	2063.9175075507756	2064.1228273085285
2064.20778703131	0.49531976955177015	trials	200114SL	p27	Z08115	277	6.0	90.0	12	2064.35778703131	2064.5531068008618
2064.6381065235964	0.5053197577531137	trials	200114SL	p27	Z08115	330	14.0	225.0	12	2064.7881065235965	2064.9934262813495
2065.0583460277753	0.505359757705719	trials	200114SL	p27	Z08115	148	12.0	45.0	8	2065.2083460277754	2065.413705785481
2067.6100630171236	0.5153197459544572	trials	200114SL	p27	Z08115	19	3.0	45.0	4	2067.7600630171237	2067.975382763078
2068.040342509457	0.5253197341558007	trials	200114SL	p27	Z08115	223	12.0	270.0	8	2068.190342509457	2068.4156622436126
2068.4906219781933	0.4953197695513154	trials	200114SL	p27	Z08115	46	0.0	135.0	4	2068.6406219781934	2068.8359417477445
2068.9209014705266	0.5253597341088607	trials	200114SL	p27	Z08115	302	1.0	180.0	12	2069.0709014705267	2069.2962612046354
2069.3712209392156	0.5253197341558007	trials	200114SL	p27	Z08115	135	14.0	0.0	8	2069.5212209392157	2069.7465406733713
2069.8115004197502	0.5253597341088607	trials	200114SL	p27	Z08115	249	8.0	0.0	12	2069.9615004197503	2070.186860153859
2070.2517799002853	0.5153597459070625	trials	200114SL	p27	Z08115	189	8.0	180.0	8	2070.4017799002854	2070.6171396461923
2072.563337172987	0.4953197695513154	trials	200114SL	p27	Z08115	359	13.0	315.0	12	2072.713337172987	2072.908656942538
2072.9735766889644	0.525359734108406	trials	200114SL	p27	Z08115	3	2.0	0.0	4	2073.1235766889645	2073.3489364230727
2073.4238961576534	0.4953197695513154	trials	200114SL	p27	Z08115	101	10.0	270.0	4	2073.5738961576535	2073.7692159272046
2073.8541756499867	0.4953197695513154	trials	200114SL	p27	Z08115	266	10.0	45.0	12	2074.004175649987	2074.199495419538
2074.2944551305213	0.4953197695513154	trials	200114SL	p27	Z08115	168	2.0	135.0	8	2074.4444551305214	2074.6397749000726
2074.7247346228546	0.5253597341088607	trials	200114SL	p27	Z08115	37	6.0	90.0	4	2074.8747346228547	2075.1000943569634
2075.6853734894416	0.5253597341088607	trials	200114SL	p27	Z08115	177	11.0	135.0	8	2075.8353734894417	2076.0607332235504
2076.115652981775	0.5253597341088607	trials	200114SL	p27	Z08115	185	4.0	180.0	8	2076.265652981775	2076.4910127158837
2076.565972450464	0.49531976955177015	trials	200114SL	p27	Z08115	10	9.0	0.0	4	2076.715972450464	2076.9112922200156
2076.9962519427972	0.5053197577531137	trials	200114SL	p27	Z08115	48	2.0	135.0	4	2077.1462519427973	2077.3515717005503
2077.4365314233323	0.4953197695513154	trials	200114SL	p27	Z08115	132	11.0	0.0	8	2077.5865314233324	2077.7818511928836
2077.8668109156656	0.505359757705719	trials	200114SL	p27	Z08115	232	6.0	315.0	8	2078.0168109156657	2078.2221706733712
2078.3071303961533	0.4953197695513154	trials	200114SL	p27	Z08115	49	3.0	135.0	4	2078.4571303961534	2078.6524501657045
2080.5886077043447	0.505359757705719	trials	200114SL	p27	Z08115	303	2.0	180.0	12	2080.7386077043448	2080.9439674620503
2081.008887208476	0.5053597577061737	trials	200114SL	p27	Z08115	100	9.0	270.0	4	2081.1588872084762	2081.3642469661822
2081.449206688964	0.5253197341558007	trials	200114SL	p27	Z08115	162	11.0	90.0	8	2081.599206688964	2081.8245264231196
