onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
1606.3077608803228	0.5161210059673067	trials	190723SL	p04	Z08115	222	11.0	270.0	8	1606.457760880323	1606.67388188629
1606.7680830229604	0.5261210525140996	trials	190723SL	p04	Z08115	191	10.0	180.0	8	1606.9180830229604	1607.1442040754744
1609.2497345741754	0.5161210059673067	trials	190723SL	p04	Z08115	96	5.0	270.0	4	1609.3997345741755	1609.6158555801426
1609.710056716813	0.5261210525140996	trials	190723SL	p04	Z08115	348	2.0	315.0	12	1609.860056716813	1610.086177769327
1610.1803389058111	0.5261610527002176	trials	190723SL	p04	Z08115	319	3.0	225.0	12	1610.3303389058112	1610.5564999585113
1612.4318693858934	0.5161210059673067	trials	190723SL	p04	Z08115	317	1.0	225.0	12	1612.5818693858935	1612.7979903918606
1612.8821914819844	0.5361210990606651	trials	190723SL	p04	Z08115	187	6.0	180.0	8	1613.0321914819845	1613.268312581045
1613.3524736709824	0.5261210525140996	trials	190723SL	p04	Z08115	320	4.0	225.0	12	1613.5024736709825	1613.7285947234964
1613.8227958601667	0.5261210525140996	trials	190723SL	p04	Z08115	260	4.0	45.0	12	1613.9727958601668	1614.1989169126807
1614.293118049351	0.5261210525140996	trials	190723SL	p04	Z08115	39	8.0	90.0	4	1614.4431180493511	1614.669239101865
1614.7634402385354	0.5261210525140996	trials	190723SL	p04	Z08115	125	4.0	0.0	8	1614.9134402385355	1615.1395612910494
1615.2237223809868	0.5361610992470105	trials	190723SL	p04	Z08115	234	8.0	315.0	8	1615.373722380987	1615.6098834802337
1615.6940445701712	0.5261210525140996	trials	190723SL	p04	Z08115	190	9.0	180.0	8	1615.8440445701713	1616.0701656226852
1618.996259940822	0.5261210525140996	trials	190723SL	p04	Z08115	40	9.0	90.0	4	1619.1462599408221	1619.372380993336
1619.4565820834596	0.5261210525140996	trials	190723SL	p04	Z08115	155	4.0	90.0	8	1619.6065820834597	1619.8327031359736
1619.926904272644	0.5261210525140996	trials	190723SL	p04	Z08115	109	3.0	315.0	4	1620.076904272644	1620.303025325158
