onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
1543.2089492093448	0.5160810322620364	trials	190801SL	p08	Z08115	165	14.0	90.0	8	1543.358949209345	1543.5750302416068
1543.6392312648875	0.526081080034146	trials	190801SL	p08	Z08115	240	14.0	315.0	8	1543.7892312648876	1544.0153123449215
1544.06951332043	0.5260810800343734	trials	190801SL	p08	Z08115	142	6.0	45.0	8	1544.21951332043	1544.4455944004642
1544.5098354239358	0.5260810800343734	trials	190801SL	p08	Z08115	172	6.0	135.0	8	1544.6598354239359	1544.88591650397
1544.9401174794784	0.526081080034146	trials	190801SL	p08	Z08115	253	12.0	0.0	12	1545.0901174794785	1545.3161985595125
1545.4104397263009	0.4960409365264695	trials	190801SL	p08	Z08115	17	1.0	45.0	4	1545.560439726301	1545.7564806628272
1548.8026959317801	0.5160810322620364	trials	190801SL	p08	Z08115	41	10.0	90.0	4	1548.9526959317802	1549.168776964042
1549.2229779395504	0.5260810800343734	trials	190801SL	p08	Z08115	100	9.0	270.0	4	1549.3729779395505	1549.5990590195847
1549.6733000908287	0.5260410798430257	trials	190801SL	p08	Z08115	286	0.0	135.0	12	1549.8233000908288	1550.0493411706716
1550.1135821941434	0.526081080034146	trials	190801SL	p08	Z08115	95	4.0	270.0	4	1550.2635821941435	1550.4896632741775
1550.5738643930024	0.5361211279976033	trials	190801SL	p08	Z08115	345	14.0	270.0	12	1550.7238643930025	1550.959985521
1551.0141464963172	0.5261210802254936	trials	190801SL	p08	Z08115	122	1.0	0.0	8	1551.1641464963172	1551.3902675765426
1554.466482988812	0.5160810322620364	trials	190801SL	p08	Z08115	33	2.0	90.0	4	1554.616482988812	1554.832564021074
1554.8967650443547	0.4960809367175898	trials	190801SL	p08	Z08115	54	8.0	135.0	4	1555.0467650443547	1555.2428459810722
1555.327047099897	0.5261210802252663	trials	190801SL	p08	Z08115	127	6.0	0.0	8	1555.4770470998972	1555.7031681801222
1555.7973693467195	0.4960809367175898	trials	190801SL	p08	Z08115	214	3.0	270.0	8	1555.9473693467196	1556.143450283437
1556.2276514022622	0.526081080034146	trials	190801SL	p08	Z08115	31	0.0	90.0	4	1556.3776514022622	1556.6037324822962
1556.667933505577	0.5261210802252663	trials	190801SL	p08	Z08115	327	11.0	225.0	12	1556.817933505577	1557.044054585802
1559.9401491375986	0.5160810322620364	trials	190801SL	p08	Z08115	0			0	1560.0901491375987	1560.3062301698606
1560.360431145369	0.5260810800343734	trials	190801SL	p08	Z08115	246	5.0	0.0	12	1560.510431145369	1560.7365122254032
1560.8007132486837	0.5261210802254936	trials	190801SL	p08	Z08115	36	5.0	90.0	4	1560.9507132486838	1561.176834328909
1561.2410353521896	0.536081127806483	trials	190801SL	p08	Z08115	74	13.0	180.0	4	1561.3910353521896	1561.627116479996
1561.711357599012	0.536081127806483	trials	190801SL	p08	Z08115	147	11.0	45.0	8	1561.861357599012	1562.0974387268184
1562.1516397023267	0.5260810800343734	trials	190801SL	p08	Z08115	115	9.0	315.0	4	1562.3016397023268	1562.527720782361
1565.4338553821208	0.526081080034146	trials	190801SL	p08	Z08115	337	6.0	270.0	12	1565.5838553821209	1565.8099364621548
1565.89413758098	0.526081080034146	trials	190801SL	p08	Z08115	222	11.0	270.0	8	1566.04413758098	1566.270218661014
1566.3644598278024	0.526081080034146	trials	190801SL	p08	Z08115	197	1.0	225.0	8	1566.5144598278025	1566.7405409078365
1566.8047419311172	0.526081080034146	trials	190801SL	p08	Z08115	320	4.0	225.0	12	1566.9547419311173	1567.1808230111512
1567.2650641301675	0.536081127806483	trials	190801SL	p08	Z08115	55	9.0	135.0	4	1567.4150641301676	1567.651145257974
1567.7053462334823	0.526081080034146	trials	190801SL	p08	Z08115	335	4.0	270.0	12	1567.8553462334824	1568.0814273135163
1571.1776828215213	0.5160810322620364	trials	190801SL	p08	Z08115	32	1.0	90.0	4	1571.3276828215214	1571.5437638537833
1571.6279649726084	0.5361211279973759	trials	190801SL	p08	Z08115	7	6.0	0.0	4	1571.7779649726085	1572.0140861006057
1572.068287076114	0.5260810800343734	trials	190801SL	p08	Z08115	213	2.0	270.0	8	1572.2182870761142	1572.4443681561484
1572.5085691794288	0.5260810800343734	trials	190801SL	p08	Z08115	218	7.0	270.0	8	1572.658569179429	1572.8846502594631
1572.9688913784792	0.5260810800343734	trials	190801SL	p08	Z08115	238	12.0	315.0	8	1573.1188913784792	1573.3449724585134
1573.409173481794	0.5260810800343734	trials	190801SL	p08	Z08115	151	0.0	90.0	8	1573.559173481794	1573.7852545618282
1576.7314293528677	0.5160410320711435	trials	190801SL	p08	Z08115	331	0.0	270.0	12	1576.8814293528678	1577.0974703849388
1577.191711551727	0.5260810800343734	trials	190801SL	p08	Z08115	269	13.0	45.0	12	1577.341711551727	1577.5677926317612
1577.6220336074607	0.5260410798430257	trials	190801SL	p08	Z08115	313	12.0	180.0	12	1577.7720336074608	1577.9980746873036
1578.0622757105843	0.5261210802252663	trials	190801SL	p08	Z08115	182	1.0	180.0	8	1578.2122757105844	1578.4383967908095
1578.5225979096344	0.5260810800343734	trials	190801SL	p08	Z08115	63	2.0	180.0	4	1578.6725979096345	1578.8986789896687
1578.9629200131403	0.5260810800343734	trials	190801SL	p08	Z08115	133	12.0	0.0	8	1579.1129200131404	1579.3390010931746
1582.3551762186198	0.526081080034146	trials	190801SL	p08	Z08115	8	7.0	0.0	4	1582.50517621862	1582.7312572986539
1582.8254984654423	0.4960409365264695	trials	190801SL	p08	Z08115	19	3.0	45.0	4	1582.9754984654423	1583.1715394019686
1583.2557805209847	0.5260810800343734	trials	190801SL	p08	Z08115	116	10.0	315.0	4	1583.4057805209848	1583.631861601019
1583.7261027678073	0.526081080034146	trials	190801SL	p08	Z08115	249	8.0	0.0	12	1583.8761027678074	1584.1021838478414
1584.1963850144386	0.5261210802252663	trials	190801SL	p08	Z08115	188	7.0	180.0	8	1584.3463850144387	1584.5725060946638
1584.6367071179445	0.5160810322620364	trials	190801SL	p08	Z08115	258	2.0	45.0	12	1584.7867071179446	1585.0027881502065
1588.0190032758426	0.5160410320711435	trials	190801SL	p08	Z08115	316	0.0	225.0	12	1588.1690032758427	1588.3850443079136
