onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	position	pdOnTS	pdOffTS
2364.393475030823	0.49596002954785945	trials	210412SL	p04	Z11111	73	12.0	4.0	2364.543475030823	2364.739435060371
2364.83375509721	0.5260000340772422	trials	210412SL	p04	Z11111	5	4.0	0.0	2364.98375509721	2365.2097551312872
2365.284075165111	0.49596002954785945	trials	210412SL	p04	Z11111	56	10.0	3.0	2365.434075165111	2365.630035194659
2365.684315225461	0.5260000340772422	trials	210412SL	p04	Z11111	24	8.0	1.0	2365.834315225461	2366.060315259538
2370.1673559014307	0.5059600310555652	trials	210412SL	p04	Z11111	36	5.0	2.0	2370.317355901431	2370.523315932486
2370.59763596631	0.49596002954785945	trials	210412SL	p04	Z11111	30	14.0	1.0	2370.74763596631	2370.943595995858
2370.9979160266657	0.49596002954785945	trials	210412SL	p04	Z11111	48	2.0	3.0	2371.147916026666	2371.3438760562135
2371.4081560885234	0.5260400340830529	trials	210412SL	p04	Z11111	38	7.0	2.0	2371.5581560885234	2371.7841961226063
2371.8384761534085	0.5260000340772422	trials	210412SL	p04	Z11111	37	6.0	2.0	2371.9884761534086	2372.2144761874856
2372.2887562213036	0.4960000295536702	trials	210412SL	p04	Z11111	65	4.0	4.0	2372.4387562213037	2372.634756250857
2372.6890362816594	0.4960000295536702	trials	210412SL	p04	Z11111	63	2.0	4.0	2372.8390362816594	2373.035036311213
2376.531636861061	0.49596002954785945	trials	210412SL	p04	Z11111	54	8.0	3.0	2376.681636861061	2376.877596890609
2376.9419169229245	0.49596002954785945	trials	210412SL	p04	Z11111	51	5.0	3.0	2377.0919169229246	2377.2878769524723
2377.372196987804	0.49596002954785945	trials	210412SL	p04	Z11111	46	0.0	3.0	2377.522196987804	2377.7181570173516
2377.7724770481595	0.5260000340772422	trials	210412SL	p04	Z11111	45	14.0	2.0	2377.9224770481596	2378.1484770822367
2378.2127571145465	0.49596002954785945	trials	210412SL	p04	Z11111	0			2378.3627571145466	2378.5587171440943
2378.6130371749023	0.5260000340776969	trials	210412SL	p04	Z11111	66	5.0	4.0	2378.7630371749024	2378.98903720898
2379.073317244305	0.5060000310618307	trials	210412SL	p04	Z11111	40	9.0	2.0	2379.2233172443052	2379.429317275367
2382.9159178237073	0.5060000310613759	trials	210412SL	p04	Z11111	52	6.0	3.0	2383.0659178237074	2383.2719178547686
2383.346197888586	0.4960000295541249	trials	210412SL	p04	Z11111	11	10.0	0.0	2383.4961978885863	2383.69219791814
2383.746477948942	0.5260000340776969	trials	210412SL	p04	Z11111	74	13.0	4.0	2383.896477948942	2384.1224779830195
2384.176758013821	0.4960000295541249	trials	210412SL	p04	Z11111	8	7.0	0.0	2384.3267580138213	2384.5227580433752
2384.6170780802145	0.49596002954785945	trials	210412SL	p04	Z11111	12	11.0	0.0	2384.7670780802146	2384.9630381097622
2385.0173181405644	0.5260400340830529	trials	210412SL	p04	Z11111	31	0.0	2.0	2385.1673181405645	2385.3933581746473
2385.4676382084654	0.4960000295536702	trials	210412SL	p04	Z11111	21	5.0	1.0	2385.6176382084655	2385.813638238019
2389.37027879692	0.5260000340772422	trials	210412SL	p04	Z11111	33	2.0	2.0	2389.52027879692	2389.746278830997
2389.8005588617993	0.5260000340772422	trials	210412SL	p04	Z11111	4	3.0	0.0	2389.9505588617994	2390.1765588958765
2390.250838929694	0.4960000295541249	trials	210412SL	p04	Z11111	62	1.0	4.0	2390.400838929694	2390.596838959248
2390.6511189900502	0.5260000340772422	trials	210412SL	p04	Z11111	7	6.0	0.0	2390.8011189900503	2391.0271190241274
2391.091439056443	0.49596002954785945	trials	210412SL	p04	Z11111	72	11.0	4.0	2391.241439056443	2391.437399085991
2391.5217191213223	0.49596002954785945	trials	210412SL	p04	Z11111	1	0.0	0.0	2391.6717191213224	2391.86767915087
2391.921999181678	0.5260000340772422	trials	210412SL	p04	Z11111	68	7.0	4.0	2392.071999181678	2392.297999215755
2396.1748398229374	0.5060000310618307	trials	210412SL	p04	Z11111	3	2.0	0.0	2396.3248398229375	2396.530839853999
2396.5851198848013	0.4960000295536702	trials	210412SL	p04	Z11111	23	7.0	1.0	2396.7351198848014	2396.931119914355
2396.9953999466647	0.5260000340772422	trials	210412SL	p04	Z11111	0			2397.145399946665	2397.371399980742
2397.425680011544	0.4960000295536702	trials	210412SL	p04	Z11111	64	3.0	4.0	2397.575680011544	2397.7716800410976
