onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
519.5538312661497	0.506000030488849	trials	210418SL	p10	Z11111	356	10.0	315.0	12	519.7038312661497	519.9098312966386
524.0868719370603	0.5060000304889627	trials	210418SL	p10	Z11111	121	0.0	0.0	8	524.2368719370603	524.4428719675493
524.4971519977837	0.49600002900888285	trials	210418SL	p10	Z11111	227	1.0	315.0	8	524.6471519977837	524.8431520267926
524.897432057027	0.506000030488849	trials	210418SL	p10	Z11111	303	2.0	180.0	12	525.047432057027	525.2534320875159
529.240352699799	0.506000030488849	trials	210418SL	p10	Z11111	71	10.0	180.0	4	529.390352699799	529.5963527302879
529.6606327620024	0.5160000319689289	trials	210418SL	p10	Z11111	187	6.0	180.0	8	529.8106327620023	530.0266327939713
530.0909128256858	0.5260400334549331	trials	210418SL	p10	Z11111	201	5.0	225.0	8	530.2409128256858	530.4669528591407
533.0028732566692	0.506000030488849	trials	210418SL	p10	Z11111	321	5.0	225.0	12	533.1528732566692	533.3588732871581
533.4131533173926	0.49600002900876916	trials	210418SL	p10	Z11111	175	9.0	135.0	8	533.5631533173926	533.7591533464014
533.8134333766358	0.5060000304889627	trials	210418SL	p10	Z11111	284	13.0	90.0	12	533.9634333766357	534.1694334071248
534.2537134417993	0.49600002900888285	trials	210418SL	p10	Z11111	49	3.0	135.0	4	534.4037134417993	534.5997134708082
534.6839935054827	0.49600002900876916	trials	210418SL	p10	Z11111	36	5.0	90.0	4	534.8339935054827	535.0299935344915
537.5159139246198	0.5060000304889627	trials	210418SL	p10	Z11111	263	7.0	45.0	12	537.6659139246198	537.8719139551088
537.9261939853432	0.49600002900876916	trials	210418SL	p10	Z11111	355	9.0	315.0	12	538.0761939853431	538.272194014352
538.3364740460664	0.5260000334490087	trials	210418SL	p10	Z11111	172	6.0	135.0	8	538.4864740460664	538.7124740795155
538.7667541097499	0.49600002900888285	trials	210418SL	p10	Z11111	6	5.0	0.0	4	538.9167541097498	539.1127541387588
539.1670341689932	0.49600002900876916	trials	210418SL	p10	Z11111	73	12.0	180.0	4	539.3170341689931	539.513034198002
539.5773142297164	0.5160000319689289	trials	210418SL	p10	Z11111	98	7.0	270.0	4	539.7273142297164	539.9433142616854
540.0075942933998	0.49600002900888285	trials	210418SL	p10	Z11111	260	4.0	45.0	12	540.1575942933998	540.3535943224088
543.5099548117652	0.506000030488849	trials	210418SL	p10	Z11111	67	6.0	180.0	4	543.6599548117651	543.865954842254
543.9202348724884	0.5260000334490087	trials	210418SL	p10	Z11111	162	11.0	90.0	8	544.0702348724884	544.2962349059375
544.3505149361719	0.49600002900888285	trials	210418SL	p10	Z11111	241	0.0	0.0	12	544.5005149361718	544.6965149651808
544.7607949968952	0.5260000334490087	trials	210418SL	p10	Z11111	142	6.0	45.0	8	544.9107949968952	545.1367950303443
545.1910750605787	0.49600002900876916	trials	210418SL	p10	Z11111	51	5.0	135.0	4	545.3410750605786	545.5370750895875
545.5913551198219	0.5260000334490087	trials	210418SL	p10	Z11111	138	2.0	45.0	8	545.7413551198218	545.9673551532709
546.0216351835053	0.5060000304889627	trials	210418SL	p10	Z11111	117	11.0	315.0	4	546.1716351835053	546.3776352139943
549.5239957018706	0.5060000304889627	trials	210418SL	p10	Z11111	46	0.0	135.0	4	549.6739957018706	549.8799957323596
549.944275764074	0.49600002900888285	trials	210418SL	p10	Z11111	218	7.0	270.0	8	550.0942757640739	550.2902757930829
550.3745558277574	0.49600002900888285	trials	210418SL	p10	Z11111	251	10.0	0.0	12	550.5245558277574	550.7205558567663
550.7748358870007	0.5260400334549331	trials	210418SL	p10	Z11111	213	2.0	270.0	8	550.9248358870007	551.1508759204556
551.2051159506841	0.506000030488849	trials	210418SL	p10	Z11111	124	3.0	0.0	8	551.3551159506841	551.561115981173
551.6153960114074	0.49600002900888285	trials	210418SL	p10	Z11111	95	4.0	270.0	4	551.7653960114073	551.9613960404163
552.0456760750908	0.49604002901480726	trials	210418SL	p10	Z11111	14	13.0	0.0	4	552.1956760750908	552.3917161041056
555.5680765964222	0.506000030488849	trials	210418SL	p10	Z11111	236	10.0	315.0	8	555.7180765964222	555.9240766269111
555.9783566571455	0.49600002900888285	trials	210418SL	p10	Z11111	10	9.0	0.0	4	556.1283566571454	556.3243566861544
556.4086367208289	0.49600002900888285	trials	210418SL	p10	Z11111	118	12.0	315.0	4	556.5586367208289	556.7546367498378
556.8089167800722	0.506000030488849	trials	210418SL	p10	Z11111	26	10.0	45.0	4	556.9589167800722	557.1649168105611
557.2191968407955	0.5260000334490087	trials	210418SL	p10	Z11111	235	9.0	315.0	8	557.3691968407954	557.5951968742445
557.6494769044789	0.49600002900888285	trials	210418SL	p10	Z11111	189	8.0	180.0	8	557.7994769044789	557.9954769334878
558.0497569637222	0.5260000334490087	trials	210418SL	p10	Z11111	12	11.0	0.0	4	558.1997569637222	558.4257569971712
561.6021174894877	0.5060000304889627	trials	210418SL	p10	Z11111	47	1.0	135.0	4	561.7521174894877	561.9581175199767
562.0123975502111	0.49600002900876916	trials	210418SL	p10	Z11111	155	4.0	90.0	8	562.162397550211	562.3583975792199
562.4126776094542	0.536040034935013	trials	210418SL	p10	Z11111	55	9.0	135.0	4	562.5626776094542	562.7987176443893
562.8529576746178	0.49600002900888285	trials	210418SL	p10	Z11111	326	10.0	225.0	12	563.0029576746177	563.1989577036267
563.253237733861	0.5260400334548194	trials	210418SL	p10	Z11111	112	6.0	315.0	4	563.403237733861	563.6292777673159
563.6835177975444	0.49600002900888285	trials	210418SL	p10	Z11111	282	11.0	90.0	12	563.8335177975443	564.0295178265533
564.0937978582677	0.5260400334549331	trials	210418SL	p10	Z11111	337	6.0	270.0	12	564.2437978582677	564.4698378917227
567.6761983884794	0.5060400304947734	trials	210418SL	p10	Z11111	70	9.0	180.0	4	567.8261983884794	568.0322384189742
568.0864784492027	0.49600002900888285	trials	210418SL	p10	Z11111	295	9.0	135.0	12	568.2364784492027	568.4324784782116
568.516798512892	0.5360000349289749	trials	210418SL	p10	Z11111	130	9.0	0.0	8	568.666798512892	568.902798547821
568.9570785780554	0.49600002900888285	trials	210418SL	p10	Z11111	147	11.0	45.0	8	569.1070785780554	569.3030786070643
569.3873586417388	0.49600002900888285	trials	210418SL	p10	Z11111	169	3.0	135.0	8	569.5373586417388	569.7333586707477
569.7876387009821	0.49600002900888285	trials	210418SL	p10	Z11111	154	3.0	90.0	8	569.9376387009821	570.133638729991
570.1979187617054	0.5260000334490087	trials	210418SL	p10	Z11111	219	8.0	270.0	8	570.3479187617054	570.5739187951544
573.7102792815508	0.5060000304889627	trials	210418SL	p10	Z11111	199	3.0	225.0	8	573.8602792815508	574.0662793120398
574.1205593422742	0.49600002900876916	trials	210418SL	p10	Z11111	231	5.0	315.0	8	574.2705593422742	574.466559371283
574.5308394029975	0.5260000334490087	trials	210418SL	p10	Z11111	78	2.0	225.0	4	574.6808394029974	574.9068394364465
574.9611194666809	0.49600002900888285	trials	210418SL	p10	Z11111	72	11.0	180.0	4	575.1111194666809	575.3071194956898
575.3913995303643	0.49600002900888285	trials	210418SL	p10	Z11111	18	2.0	45.0	4	575.5413995303643	575.7373995593732
575.7916795896076	0.506000030488849	trials	210418SL	p10	Z11111	291	5.0	135.0	12	575.9416795896076	576.1476796200965
576.2019596503309	0.5260000334490087	trials	210418SL	p10	Z11111	16	0.0	45.0	4	576.3519596503309	576.5779596837799
579.7843601805424	0.5060000304889627	trials	210418SL	p10	Z11111	323	7.0	225.0	12	579.9343601805424	580.1403602110314
580.1946402412658	0.49600002900888285	trials	210418SL	p10	Z11111	252	11.0	0.0	12	580.3446402412658	580.5406402702747
580.5949203005091	0.5260000334490087	trials	210418SL	p10	Z11111	346	0.0	315.0	12	580.7449203005091	580.9709203339581
581.0352003656725	0.49600002900888285	trials	210418SL	p10	Z11111	20	4.0	45.0	4	581.1852003656725	581.3812003946814
581.4654804293559	0.49600002900888285	trials	210418SL	p10	Z11111	7	6.0	0.0	4	581.6154804293559	581.8114804583648
