onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	mode	pdOnTS	pdOffTS
2063.4778004028553	0.5268800390049364	trials	210608TX	p48	Z11111	32	10.0	1.0	2063.6278004028554	2063.85468044186
2063.908080476828	0.5269200390116566	trials	210608TX	p48	Z11111	57	18.0	2.0	2064.0580804768283	2064.28500051584
2064.3483605525203	0.5269200390116566	trials	210608TX	p48	Z11111	97	32.0	0.0	2064.4983605525204	2064.725280591532
2066.6899609550824	0.5068800355666099	trials	210608TX	p48	Z11111	104	34.0	1.0	2066.8399609550825	2067.046840990649
2067.110241027336	0.5268800390049364	trials	210608TX	p48	Z11111	21	6.0	2.0	2067.260241027336	2067.487121066341
2067.5705211064665	0.5269200390116566	trials	210608TX	p48	Z11111	52	17.0	0.0	2067.7205211064665	2067.947441145478
2068.0408811873294	0.5268800390049364	trials	210608TX	p48	Z11111	103	34.0	0.0	2068.1908811873295	2068.4177612263343
2068.4811612630215	0.5268800390049364	trials	210608TX	p48	Z11111	1	0.0	0.0	2068.6311612630216	2068.8580413020263
2068.9114413369944	0.5269200390116566	trials	210608TX	p48	Z11111	88	29.0	0.0	2069.0614413369944	2069.288361376006
2069.351721412686	0.5269200390116566	trials	210608TX	p48	Z11111	23	7.0	1.0	2069.501721412686	2069.7286414516975
2072.774042001043	0.4968800338474466	trials	210608TX	p48	Z11111	10	3.0	0.0	2072.9240420010433	2073.1209220348906
2073.1743220698586	0.5268800390049364	trials	210608TX	p48	Z11111	62	20.0	1.0	2073.3243220698587	2073.5512021088634
2073.6146021455506	0.5269200390116566	trials	210608TX	p48	Z11111	25	8.0	0.0	2073.7646021455507	2073.991522184562
2074.0449222195302	0.5268800390049364	trials	210608TX	p48	Z11111	101	33.0	1.0	2074.1949222195303	2074.421802258535
2074.485202295222	0.5269200390121114	trials	210608TX	p48	Z11111	49	16.0	0.0	2074.635202295222	2074.862122334234
2074.9154823691947	0.5269200390116566	trials	210608TX	p48	Z11111	80	26.0	1.0	2075.065482369195	2075.2924024082063
2075.3557624448868	0.5269200390116566	trials	210608TX	p48	Z11111	31	10.0	0.0	2075.505762444887	2075.7326824838983
2078.6880430177644	0.5168800372857731	trials	210608TX	p48	Z11111	0			2078.8380430177644	2079.05492305505
2083.6914038779305	0.5068800355666099	trials	210608TX	p48	Z11111	50	16.0	1.0	2083.8414038779306	2084.048283913497
2084.1416839553417	0.5169200372924934	trials	210608TX	p48	Z11111	56	18.0	1.0	2084.291683955342	2084.508603992634
2084.5720040293213	0.5268800390049364	trials	210608TX	p48	Z11111	69	22.0	2.0	2084.7220040293214	2084.948884068326
2085.002284103294	0.5268800390044817	trials	210608TX	p48	Z11111	19	6.0	0.0	2085.1522841032943	2085.3791641422986
2085.442564178986	0.5169200372924934	trials	210608TX	p48	Z11111	55	18.0	0.0	2085.592564178986	2085.809484216278
2085.8728442529587	0.5269200390116566	trials	210608TX	p48	Z11111	66	21.0	2.0	2086.0228442529587	2086.24976429197
2086.3031643269383	0.5268800390049364	trials	210608TX	p48	Z11111	0			2086.4531643269383	2086.680044365943
2089.6554049032475	0.5068800355666099	trials	210608TX	p48	Z11111	29	9.0	1.0	2089.8054049032476	2090.012284938814
2090.065684973782	0.5269200390116566	trials	210608TX	p48	Z11111	0			2090.215684973782	2090.4426050127936
2090.5059650494736	0.5269200390121114	trials	210608TX	p48	Z11111	2	0.0	1.0	2090.6559650494737	2090.8828850884856
2090.9362851234537	0.5268800390044817	trials	210608TX	p48	Z11111	99	32.0	2.0	2091.0862851234538	2091.313165162458
2091.3765651991453	0.5269200390116566	trials	210608TX	p48	Z11111	72	23.0	2.0	2091.5265651991454	2091.753485238157
2091.806845273118	0.5269200390116566	trials	210608TX	p48	Z11111	8	2.0	1.0	2091.9568452731182	2092.1837653121297
2092.247165348817	0.5268800390049364	trials	210608TX	p48	Z11111	117	38.0	2.0	2092.397165348817	2092.6240453878218
2095.629445930291	0.5068800355661551	trials	210608TX	p48	Z11111	58	19.0	0.0	2095.779445930291	2095.986325965857
2096.039726000825	0.5268800390049364	trials	210608TX	p48	Z11111	64	21.0	0.0	2096.189726000825	2096.4166060398297
2098.6214464446684	0.5068800355661551	trials	210608TX	p48	Z11111	114	37.0	2.0	2098.7714464446685	2098.9783264802345
