onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	position	pdOnTS	pdOffTS
1649.260219005117	0.5061600436897606	trials	210416SL	p08	Z11111	43	12.0	2.0	1649.4102190051171	1649.6163790488067
1649.670499092064	0.49612004156210787	trials	210416SL	p08	Z11111	16	0.0	1.0	1649.820499092064	1650.016619133626
1650.1007791832494	0.5061600436897606	trials	210416SL	p08	Z11111	44	13.0	2.0	1650.2507791832495	1650.456939226939
1650.5110592701963	0.5261600479282151	trials	210416SL	p08	Z11111	54	8.0	3.0	1650.6610592701963	1650.8872193181244
1650.9413393613816	0.5261600479282151	trials	210416SL	p08	Z11111	49	3.0	3.0	1651.0913393613816	1651.3174994093097
1651.3816194546862	0.4961600415706471	trials	210416SL	p08	Z11111	34	3.0	2.0	1651.5316194546863	1651.7277794962567
1653.7432199551588	0.5061600436897606	trials	210416SL	p08	Z11111	37	6.0	2.0	1653.8932199551589	1654.0993799988485
1654.173500046344	0.506160043689988	trials	210416SL	p08	Z11111	52	6.0	3.0	1654.3235000463442	1654.529660090034
1654.5837801332912	0.4961600415706471	trials	210416SL	p08	Z11111	39	8.0	2.0	1654.7337801332912	1654.9299401748617
1654.994060220238	0.5261600479282151	trials	210416SL	p08	Z11111	30	14.0	1.0	1655.144060220238	1655.3702202681661
1655.4243803114318	0.49612004156210787	trials	210416SL	p08	Z11111	20	4.0	1.0	1655.574380311432	1655.7705003529938
1655.8346203983704	0.5161600458091016	trials	210416SL	p08	Z11111	3	2.0	0.0	1655.9846203983705	1656.2007804441794
1656.2649404895642	0.49612004156210787	trials	210416SL	p08	Z11111	7	6.0	0.0	1656.4149404895643	1656.6110605311262
1659.9073812614736	0.5161600458091016	trials	210416SL	p08	Z11111	1	0.0	0.0	1660.0573812614737	1660.2735413072826
1660.3276613505398	0.5161600458091016	trials	210416SL	p08	Z11111	53	7.0	3.0	1660.4776613505398	1660.6938213963488
1660.7779414459635	0.4961600415706471	trials	210416SL	p08	Z11111	69	8.0	4.0	1660.9279414459636	1661.124101487534
1661.1782215307912	0.5261600479284425	trials	210416SL	p08	Z11111	41	10.0	2.0	1661.3282215307913	1661.5543815787196
1661.6085416219853	0.5061200436812214	trials	210416SL	p08	Z11111	12	11.0	0.0	1661.7585416219854	1661.9646616656664
1662.0488217152897	0.4961600415706471	trials	210416SL	p08	Z11111	62	1.0	4.0	1662.1988217152898	1662.3949817568603
1662.4791018064752	0.4961600415704197	trials	210416SL	p08	Z11111	31	0.0	2.0	1662.6291018064753	1662.8252618480456
1666.0315025593031	0.506160043689988	trials	210416SL	p08	Z11111	73	12.0	4.0	1666.1815025593032	1666.387662602993
1666.4417826462502	0.5061600436897606	trials	210416SL	p08	Z11111	4	3.0	0.0	1666.5917826462503	1666.7979426899399
1666.852062733197	0.5261600479282151	trials	210416SL	p08	Z11111	51	5.0	3.0	1667.0020627331971	1667.2282227811252
1669.613903318489	0.5061600436897606	trials	210416SL	p08	Z11111	66	5.0	4.0	1669.7639033184892	1669.9700633621787
1670.0441834096744	0.4961600415706471	trials	210416SL	p08	Z11111	5	4.0	0.0	1670.1941834096745	1670.390343451245
1670.444463494502	0.5261600479282151	trials	210416SL	p08	Z11111	59	13.0	3.0	1670.5944634945022	1670.8206235424302
1670.8747435856874	0.4961600415706471	trials	210416SL	p08	Z11111	18	2.0	1.0	1671.0247435856875	1671.220903627258
1671.2850236726345	0.526200047936527	trials	210416SL	p08	Z11111	0			1671.4350236726345	1671.661223720571
1671.7153437638283	0.49612004156210787	trials	210416SL	p08	Z11111	58	12.0	3.0	1671.8653437638284	1672.0614638053903
1672.1155838486475	0.5262000479367543	trials	210416SL	p08	Z11111	64	3.0	4.0	1672.2655838486476	1672.4917838965841
1675.6979846078332	0.5061600436897606	trials	210416SL	p08	Z11111	29	13.0	1.0	1675.8479846078333	1676.0541446515228
1676.118304696908	0.5261600479282151	trials	210416SL	p08	Z11111	60	14.0	3.0	1676.268304696908	1676.494464744836
1676.5485847880932	0.4961600415706471	trials	210416SL	p08	Z11111	0			1676.6985847880933	1676.8947448296638
1676.9788648792785	0.4961600415706471	trials	210416SL	p08	Z11111	27	11.0	1.0	1677.1288648792786	1677.325024920849
1677.3891449662256	0.5261600479282151	trials	210416SL	p08	Z11111	42	11.0	2.0	1677.5391449662256	1677.7653050141537
1677.82942505953	0.506160043689988	trials	210416SL	p08	Z11111	10	9.0	0.0	1677.97942505953	1678.1855851032199
1678.239705146477	0.5262000479367543	trials	210416SL	p08	Z11111	23	7.0	1.0	1678.3897051464771	1678.6159051944137
1681.7721058950667	0.5061600436897606	trials	210416SL	p08	Z11111	25	9.0	1.0	1681.9221058950668	1682.1282659387564
1682.1823859820136	0.506160043689988	trials	210416SL	p08	Z11111	8	7.0	0.0	1682.3323859820136	1682.5385460257035
1682.612666073199	0.5061600436897606	trials	210416SL	p08	Z11111	32	1.0	2.0	1682.7626660731992	1682.9688261168887
1683.0529461665035	0.5262000479367543	trials	210416SL	p08	Z11111	50	4.0	3.0	1683.2029461665036	1683.4291462144402
1683.4932262598081	0.4961600415706471	trials	210416SL	p08	Z11111	36	5.0	2.0	1683.6432262598082	1683.8393863013787
1683.923546351002	0.4961600415706471	trials	210416SL	p08	Z11111	65	4.0	4.0	1684.073546351002	1684.2697063925725
1684.3238264358297	0.49612004156210787	trials	210416SL	p08	Z11111	13	12.0	0.0	1684.4738264358298	1684.6699464773917
1687.856187184411	0.5061600436897606	trials	210416SL	p08	Z11111	14	13.0	0.0	1688.0061871844111	1688.2123472281007
1688.276467273477	0.5261600479284425	trials	210416SL	p08	Z11111	40	9.0	2.0	1688.426467273477	1688.6526273214054
1690.5680277591068	0.5061600436897606	trials	210416SL	p08	Z11111	57	11.0	3.0	1690.718027759107	1690.9241878027965
1690.988307848173	0.5261600479282151	trials	210416SL	p08	Z11111	2	1.0	0.0	1691.138307848173	1691.3644678961011
1691.4485879457159	0.4961600415706471	trials	210416SL	p08	Z11111	9	8.0	0.0	1691.598587945716	1691.7947479872864
1691.8488680305436	0.4961600415706471	trials	210416SL	p08	Z11111	55	9.0	3.0	1691.9988680305437	1692.1950280721142
1692.2791881217374	0.5061200436814488	trials	210416SL	p08	Z11111	6	5.0	0.0	1692.4291881217375	1692.6353081654188
1692.689428208676	0.5262000479367543	trials	210416SL	p08	Z11111	0			1692.839428208676	1693.0656282566126
1693.1197482998698	0.49612004156210787	trials	210416SL	p08	Z11111	47	1.0	3.0	1693.26974829987	1693.4658683414318
1696.5420290251227	0.5061600436897606	trials	210416SL	p08	Z11111	48	2.0	3.0	1696.6920290251228	1696.8981890688124
1696.9523091120698	0.4961600415704197	trials	210416SL	p08	Z11111	71	10.0	4.0	1697.1023091120699	1697.29846915364
1697.3525891968975	0.5261600479282151	trials	210416SL	p08	Z11111	22	6.0	1.0	1697.5025891968976	1697.7287492448256
1697.7828692880828	0.5061600436897606	trials	210416SL	p08	Z11111	17	1.0	1.0	1697.9328692880829	1698.1390293317725
1698.2231493813874	0.4961600415704197	trials	210416SL	p08	Z11111	46	0.0	3.0	1698.3731493813875	1698.5693094229578
1698.6234294662152	0.4961600415704197	trials	210416SL	p08	Z11111	74	13.0	4.0	1698.7734294662152	1698.9695895077855
1699.053749557409	0.5061200436812214	trials	210416SL	p08	Z11111	35	4.0	2.0	1699.203749557409	1699.4098696010901
1702.5961103081092	0.506160043689988	trials	210416SL	p08	Z11111	45	14.0	2.0	1702.7461103081093	1702.9522703517991
