onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	mode	pdOnTS	pdOffTS
2812.961313138592	0.4969600159197398	trials	210506TX	p25	Z11111	2	0.0	1.0	2813.111313138592	2813.3082731545114
2813.381593172561	0.5370000191560393	trials	210506TX	p25	Z11111	44	14.0	1.0	2813.5315931725613	2813.768593191717
2813.8218732081473	0.527000018347735	trials	210506TX	p25	Z11111	20	6.0	1.0	2813.9718732081474	2814.198873226495
2814.2521932429286	0.5069600167275894	trials	210506TX	p25	Z11111	108	35.0	2.0	2814.4021932429287	2814.609153259656
2814.6924732785146	0.4969600159197398	trials	210506TX	p25	Z11111	100	33.0	0.0	2814.8424732785147	2815.0394332944343
2815.0927533108675	0.5269600183446528	trials	210506TX	p25	Z11111	4	1.0	0.0	2815.2427533108676	2815.469713329212
2815.5330333464535	0.527000018347735	trials	210506TX	p25	Z11111	93	30.0	2.0	2815.6830333464536	2815.910033364801
2819.225513644902	0.5070000167311264	trials	210506TX	p25	Z11111	11	3.0	1.0	2819.375513644902	2819.582513661633
2819.6457936788715	0.527000018347735	trials	210506TX	p25	Z11111	115	38.0	0.0	2819.7957936788716	2820.022793697219
2820.076113713653	0.526960018344198	trials	210506TX	p25	Z11111	69	22.0	2.0	2820.226113713653	2820.453073731997
2822.4376739045283	0.5070000167311264	trials	210506TX	p25	Z11111	73	24.0	0.0	2822.5876739045284	2822.7946739212593
2822.8579539384978	0.49700001592282206	trials	210506TX	p25	Z11111	29	9.0	1.0	2823.007953938498	2823.2049539544205
2823.258233970851	0.527000018347735	trials	210506TX	p25	Z11111	120	39.0	2.0	2823.408233970851	2823.6352339891987
2823.688514005629	0.49700001592282206	trials	210506TX	p25	Z11111	6	1.0	2.0	2823.838514005629	2824.0355140215515
2824.1188340404096	0.5069600167280441	trials	210506TX	p25	Z11111	83	27.0	1.0	2824.2688340404097	2824.4757940571376
2824.5290740735677	0.527000018347735	trials	210506TX	p25	Z11111	60	19.0	2.0	2824.679074073568	2824.9060740919153
2824.959394108349	0.4969600159197398	trials	210506TX	p25	Z11111	41	13.0	1.0	2825.109394108349	2825.3063541242686
2828.631834405178	0.5070000167311264	trials	210506TX	p25	Z11111	59	19.0	1.0	2828.781834405178	2828.988834421909
2829.042114438339	0.49700001592282206	trials	210506TX	p25	Z11111	82	27.0	0.0	2829.192114438339	2829.3891144542617
2829.47243447312	0.4969600159197398	trials	210506TX	p25	Z11111	88	29.0	0.0	2829.62243447312	2829.8193944890395
2829.8827145062814	0.526960018344198	trials	210506TX	p25	Z11111	118	39.0	0.0	2830.0327145062815	2830.2596745246256
2830.312994541059	0.4969600159197398	trials	210506TX	p25	Z11111	61	20.0	0.0	2830.4629945410593	2830.659954556979
2830.743274575837	0.4969600159197398	trials	210506TX	p25	Z11111	54	17.0	2.0	2830.893274575837	2831.0902345917566
2831.1535546089985	0.5270000183472803	trials	210506TX	p25	Z11111	97	32.0	0.0	2831.3035546089986	2831.5305546273457
2834.745954899358	0.5070000167311264	trials	210506TX	p25	Z11111	47	15.0	1.0	2834.895954899358	2835.102954916089
2835.1662349333274	0.527000018347735	trials	210506TX	p25	Z11111	85	28.0	0.0	2835.3162349333275	2835.543234951675
2835.596554968108	0.4969600159197398	trials	210506TX	p25	Z11111	26	8.0	1.0	2835.7465549681083	2835.943514984028
