onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	mode	pdOnTS	pdOffTS
2123.680849518361	0.5069200306893435	trials	210609TX	p49	Z11111	66	21.0	2.0	2123.830849518361	2124.03776954905
2124.101129580694	0.5169200321720382	trials	210609TX	p49	Z11111	89	29.0	1.0	2124.251129580694	2124.468049612866
2124.561449648965	0.5269200336551876	trials	210609TX	p49	Z11111	110	36.0	1.0	2124.7114496489653	2124.9383696826203
2125.0017697142703	0.5268800336493769	trials	210609TX	p49	Z11111	25	8.0	0.0	2125.1517697142704	2125.3786497479196
2125.432049778086	0.5269200336556423	trials	210609TX	p49	Z11111	113	37.0	1.0	2125.582049778086	2125.8089698117415
2125.9023698478404	0.5269200336551876	trials	210609TX	p49	Z11111	77	25.0	1.0	2126.0523698478405	2126.2792898814955
2126.3326499116565	0.5269200336551876	trials	210609TX	p49	Z11111	112	37.0	0.0	2126.4826499116566	2126.7095699453116
2130.15521047859	0.5069200306888888	trials	210609TX	p49	Z11111	29	9.0	1.0	2130.30521047859	2130.512130509279
2130.56549053944	0.5269200336551876	trials	210609TX	p49	Z11111	6	1.0	2.0	2130.71549053944	2130.942410573095
2131.005810604745	0.5268800336493769	trials	210609TX	p49	Z11111	116	38.0	1.0	2131.155810604745	2131.3826906383943
2131.4360906685606	0.5269200336556423	trials	210609TX	p49	Z11111	36	11.0	2.0	2131.5860906685607	2131.813010702216
2131.87637073386	0.5269200336551876	trials	210609TX	p49	Z11111	98	32.0	1.0	2132.02637073386	2132.253290767515
2132.3066907976818	0.5268800336493769	trials	210609TX	p49	Z11111	100	33.0	0.0	2132.456690797682	2132.683570831331
2132.746970862981	0.5269200336551876	trials	210609TX	p49	Z11111	83	27.0	1.0	2132.896970862981	2133.123890896636
2136.5795314313978	0.5169200321720382	trials	210609TX	p49	Z11111	54	17.0	2.0	2136.729531431398	2136.9464514635697
2137.0098514952197	0.5268800336493769	trials	210609TX	p49	Z11111	68	22.0	1.0	2137.1598514952198	2137.386731528869
2137.4401315590353	0.5269200336556423	trials	210609TX	p49	Z11111	32	10.0	1.0	2137.5901315590354	2137.817051592691
2137.8804116243346	0.5269200336551876	trials	210609TX	p49	Z11111	0			2138.0304116243346	2138.2573316579897
2138.340731692606	0.5269200336551876	trials	210609TX	p49	Z11111	15	4.0	2.0	2138.490731692606	2138.717651726261
