onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	position	pdOnTS	pdOffTS
4523.631530813506	0.5068800381459369	trials	210608SL	p48	Z11111	11	10.0	0.0	4523.781530813506	4523.988410851653
4524.041810889157	0.5369200436844039	trials	210608SL	p48	Z11111	2	1.0	0.0	4524.191810889157	4524.428730932842
4524.48209097034	0.5269200418406399	trials	210608SL	p48	Z11111	31	0.0	2.0	4524.63209097034	4524.859011012181
4524.912371049679	0.5269200418406399	trials	210608SL	p48	Z11111	68	7.0	4.0	4525.062371049678	4525.28929109152
4525.352691130869	0.5269200418406399	trials	210608SL	p48	Z11111	8	7.0	0.0	4525.502691130869	4525.72961117271
4525.7829712102075	0.5269200418406399	trials	210608SL	p48	Z11111	49	3.0	3.0	4525.932971210207	4526.1598912520485
4526.223291291398	0.5268800418334649	trials	210608SL	p48	Z11111	26	10.0	1.0	4526.373291291397	4526.600171333232
4530.065851999922	0.5169200399968759	trials	210608SL	p48	Z11111	55	9.0	3.0	4530.215851999922	4530.43277203992
4530.486132077417	0.5269200418406399	trials	210608SL	p48	Z11111	38	7.0	2.0	4530.636132077417	4530.863052119258
4530.916452156763	0.4968800363021728	trials	210608SL	p48	Z11111	0			4531.066452156762	4531.263332193065
4531.356732237946	0.4968800363012633	trials	210608SL	p48	Z11111	60	14.0	3.0	4531.5067322379455	4531.7036122742475
4533.74833267893	0.5068800381450274	trials	210608SL	p48	Z11111	47	1.0	3.0	4533.898332678929	4534.105212717075
4534.158612754581	0.5068800381459369	trials	210608SL	p48	Z11111	36	5.0	2.0	4534.30861275458	4534.515492792727
4534.568892830232	0.5269200418406399	trials	210608SL	p48	Z11111	20	4.0	1.0	4534.718892830231	4534.945812872073
4534.99917290957	0.5269200418406399	trials	210608SL	p48	Z11111	21	5.0	1.0	4535.14917290957	4535.376092951411
4535.429452988909	0.5069200381522023	trials	210608SL	p48	Z11111	17	1.0	1.0	4535.579452988909	4535.786373027062
4535.83973306456	0.5269200418406399	trials	210608SL	p48	Z11111	1	0.0	0.0	4535.98973306456	4536.216653106401
4536.270053143906	0.5268800418334649	trials	210608SL	p48	Z11111	43	12.0	2.0	4536.4200531439055	4536.64693318574
4540.242693876416	0.5069200381531118	trials	210608SL	p48	Z11111	50	4.0	3.0	4540.392693876415	4540.599613914569
4540.6529739520665	0.4968800363021728	trials	210608SL	p48	Z11111	19	3.0	1.0	4540.802973952066	4540.999853988369
4541.083294031413	0.4968800363012633	trials	210608SL	p48	Z11111	56	10.0	3.0	4541.233294031413	4541.430174067715
4541.523574112595	0.5269200418415494	trials	210608SL	p48	Z11111	71	10.0	4.0	4541.673574112595	4541.900494154437
4541.953854191935	0.5369200436844039	trials	210608SL	p48	Z11111	0			4542.103854191934	4542.340774235619
4542.394174273124	0.5268800418334649	trials	210608SL	p48	Z11111	28	12.0	1.0	4542.544174273124	4542.771054314958
4542.824454352463	0.5269200418406399	trials	210608SL	p48	Z11111	59	13.0	3.0	4542.974454352463	4543.201374394304
4546.79713508498	0.5068800381459369	trials	210608SL	p48	Z11111	32	1.0	2.0	4546.94713508498	4547.154015123127
4547.207415160631	0.5268800418334649	trials	210608SL	p48	Z11111	54	8.0	3.0	4547.357415160631	4547.584295202465
4547.6376952399705	0.5068800381450274	trials	210608SL	p48	Z11111	40	9.0	2.0	4547.78769523997	4547.994575278116
4548.077975321153	0.4968800363021728	trials	210608SL	p48	Z11111	3	2.0	0.0	4548.227975321152	4548.424855357455
4548.47825539496	0.5269200418406399	trials	210608SL	p48	Z11111	7	6.0	0.0	4548.6282553949595	4548.855175436801
4548.908535474298	0.5069200381531118	trials	210608SL	p48	Z11111	46	0.0	3.0	4549.058535474298	4549.265455512452
4549.348855555489	0.4968800363021728	trials	210608SL	p48	Z11111	63	2.0	4.0	4549.498855555488	4549.695735591791
4553.261496276935	0.4968800363021728	trials	210608SL	p48	Z11111	10	9.0	0.0	4553.4114962769345	4553.608376313237
4553.701776358118	0.5269200418406399	trials	210608SL	p48	Z11111	41	10.0	2.0	4553.851776358118	4554.078696399959
4554.162096442996	0.4968800363012633	trials	210608SL	p48	Z11111	73	12.0	4.0	4554.312096442995	4554.508976479297
4554.602376524178	0.5269200418406399	trials	210608SL	p48	Z11111	51	5.0	3.0	4554.752376524178	4554.979296566019
4555.032656603517	0.4968800363012633	trials	210608SL	p48	Z11111	75	14.0	4.0	4555.182656603517	4555.379536639819
4555.472976684707	0.5268800418334649	trials	210608SL	p48	Z11111	15	14.0	0.0	4555.622976684706	4555.849856726541
4555.903256764046	0.5269200418406399	trials	210608SL	p48	Z11111	9	8.0	0.0	4556.053256764046	4556.280176805887
4559.795897481805	0.5068800381450274	trials	210608SL	p48	Z11111	4	3.0	0.0	4559.945897481804	4560.15277751995
4560.206137557448	0.5269200418415494	trials	210608SL	p48	Z11111	53	7.0	3.0	4560.356137557447	4560.5830575992895
4560.666457642325	0.5068800381459369	trials	210608SL	p48	Z11111	5	4.0	0.0	4560.816457642325	4561.023337680472
4563.5884181811025	0.5069200381522023	trials	210608SL	p48	Z11111	57	11.0	3.0	4563.738418181102	4563.945338219255
4563.998698256753	0.5269200418406399	trials	210608SL	p48	Z11111	27	11.0	1.0	4564.148698256753	4564.375618298594
4564.428978336092	0.5069200381531118	trials	210608SL	p48	Z11111	69	8.0	4.0	4564.5789783360915	4564.785898374245
