onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	mode	pdOnTS	pdOffTS
1851.2542456274398	0.5044413164000616	trials	200715TX	p57	Z08115	119	39.0	1.0	1851.4042456274399	1851.6086869438398
1851.664528269254	0.5244414451810826	trials	200715TX	p57	Z08115	64	21.0	0.0	1851.8145282692542	1852.038969714435
1852.0948110398494	0.49444125200943745	trials	200715TX	p57	Z08115	45	14.0	2.0	1852.2448110398495	1852.4392522918588
1852.4950936172731	0.5344415095714794	trials	200715TX	p57	Z08115	36	11.0	2.0	1852.6450936172732	1852.8795351268445
1852.945416516907	0.4944012517516967	trials	200715TX	p57	Z08115	95	31.0	1.0	1853.095416516907	1853.2898177686586
1853.3556591584636	0.524481445438596	trials	200715TX	p57	Z08115	43	14.0	0.0	1853.5056591584637	1853.730140603902
1853.7859819293164	0.49440125175192406	trials	200715TX	p57	Z08115	58	19.0	0.0	1853.9359819293165	1854.1303831810683
1854.1862245064826	0.5244414451808552	trials	200715TX	p57	Z08115	107	35.0	1.0	1854.3362245064827	1854.5606659516634
1857.7386473805705	0.5244414451810826	trials	200715TX	p57	Z08115	4	1.0	0.0	1857.8886473805705	1858.1130888257514
1858.1789302155564	0.5044413163998342	trials	200715TX	p57	Z08115	40	13.0	0.0	1858.3289302155565	1858.5333715319562
1858.6192530507997	0.49440125175192406	trials	200715TX	p57	Z08115	12	3.0	2.0	1858.7692530507998	1858.9636543025515
1859.0194956279659	0.524481445438596	trials	200715TX	p57	Z08115	68	22.0	1.0	1859.169495627966	1859.3939770734044
1859.4698585278572	0.49440125175192406	trials	200715TX	p57	Z08115	77	25.0	1.0	1859.6198585278573	1859.814259779609
1859.8701011050234	0.5044413163998342	trials	200715TX	p57	Z08115	85	28.0	0.0	1860.0201011050235	1860.2245424214232
1860.3103839400092	0.49444125200943745	trials	200715TX	p57	Z08115	60	19.0	2.0	1860.4603839400093	1860.6548251920185
1860.7406667106045	0.49444125200943745	trials	200715TX	p57	Z08115	53	17.0	1.0	1860.8906667106046	1861.0851079626138
1864.983574030729	0.5044413164000616	trials	200715TX	p57	Z08115	26	8.0	1.0	1865.133574030729	1865.338015347129
1865.4038567369337	0.5044413164000616	trials	200715TX	p57	Z08115	7	2.0	0.0	1865.5538567369338	1865.7582980533336
1865.8441395719194	0.49444125200943745	trials	200715TX	p57	Z08115	89	29.0	1.0	1865.9941395719195	1866.1885808239288
1866.244422149343	0.5244414451810826	trials	200715TX	p57	Z08115	0			1866.3944221493432	1866.618863594524
1866.694745048977	0.49444125200943745	trials	200715TX	p57	Z08115	17	5.0	1.0	1866.844745048977	1867.0391863009863
1867.135027883963	0.49444125200943745	trials	200715TX	p57	Z08115	2	0.0	1.0	1867.285027883963	1867.4794691359723
1867.5353104613866	0.5244414451808552	trials	200715TX	p57	Z08115	57	18.0	2.0	1867.6853104613867	1867.9097519065674
1871.768177716863	0.5044413164000616	trials	200715TX	p57	Z08115	88	29.0	0.0	1871.918177716863	1872.122619033263
1872.188460423068	0.5244414451808552	trials	200715TX	p57	Z08115	87	28.0	2.0	1872.338460423068	1872.5629018682487
1872.6187831939205	0.5244414451810826	trials	200715TX	p57	Z08115	35	11.0	1.0	1872.7687831939206	1872.9932246391015
1873.0590660289065	0.5244414451808552	trials	200715TX	p57	Z08115	3	0.0	2.0	1873.2090660289066	1873.4335074740873
1873.4993488638922	0.5044413163998342	trials	200715TX	p57	Z08115	42	13.0	2.0	1873.6493488638923	1873.853790180292
1873.9096315057063	0.5244414451810826	trials	200715TX	p57	Z08115	46	15.0	0.0	1874.0596315057064	1874.2840729508873
1874.3599544053402	0.49440125175192406	trials	200715TX	p57	Z08115	18	5.0	2.0	1874.5099544053403	1874.704355657092
1874.7601969825064	0.524481445438596	trials	200715TX	p57	Z08115	10	3.0	0.0	1874.9101969825065	1875.134678427945
1879.3133063000248	0.5244414451810826	trials	200715TX	p57	Z08115	11	3.0	1.0	1879.463306300025	1879.6877477452058
1879.7435890706201	0.49444125200943745	trials	200715TX	p57	Z08115	118	39.0	0.0	1879.8935890706202	1880.0880303226295
1880.1738718412155	0.49444125200943745	trials	200715TX	p57	Z08115	8	2.0	1.0	1880.3238718412156	1880.5183130932248
1880.5841544830296	0.524481445438596	trials	200715TX	p57	Z08115	25	8.0	0.0	1880.7341544830297	1880.958635928468
1883.7262947153035	0.5044413163998342	trials	200715TX	p57	Z08115	19	6.0	0.0	1883.8762947153036	1884.0807360317033
1890.030575308632	0.5044413164000616	trials	200715TX	p57	Z08115	29	9.0	1.0	1890.1805753086321	1890.385016625032
1890.4608580792274	0.49444125200943745	trials	200715TX	p57	Z08115	39	12.0	2.0	1890.6108580792275	1890.8052993312367
1890.861140656651	0.5044413164000616	trials	200715TX	p57	Z08115	14	4.0	1.0	1891.0111406566512	1891.215581973051
1891.3014634918943	0.49444125200943745	trials	200715TX	p57	Z08115	56	18.0	1.0	1891.4514634918944	1891.6459047439037
1948.09006915432	0.5144413807904584	trials	200715TX	p57	Z08115	113	37.0	1.0	1948.24006915432	1948.4545105351103
1948.5303519893057	0.49444125200943745	trials	200715TX	p57	Z08115	55	18.0	0.0	1948.6803519893058	1948.874793241315
1948.9405946308625	0.5144813810479718	trials	200715TX	p57	Z08115	67	22.0	0.0	1949.0905946308626	1949.3050760119104
1959.7779844129286	0.5144413807904584	trials	200715TX	p57	Z08115	105	34.0	2.0	1959.9279844129287	1960.142425793719
1962.5698823899888	0.524481445438596	trials	200715TX	p57	Z08115	114	37.0	2.0	1962.719882389989	1962.9443638354273
1963.010205225232	0.5044413164000616	trials	200715TX	p57	Z08115	48	15.0	2.0	1963.1602052252322	1963.364646541632
1963.4204878670464	0.5244414451808552	trials	200715TX	p57	Z08115	49	16.0	0.0	1963.5704878670465	1963.7949293122272
1963.8507706376417	0.49444125200943745	trials	200715TX	p57	Z08115	101	33.0	1.0	1964.0007706376418	1964.195211889651
1964.2510132148077	0.524481445438596	trials	200715TX	p57	Z08115	0			1964.4010132148078	1964.6254946602462
1964.7013361144416	0.5044413164000616	trials	200715TX	p57	Z08115	9	2.0	2.0	1964.8513361144417	1965.0557774308415
1965.141658949685	0.4944012517516967	trials	200715TX	p57	Z08115	69	22.0	2.0	1965.2916589496851	1965.4860602014367
1965.5719417202802	0.49444125200943745	trials	200715TX	p57	Z08115	111	36.0	2.0	1965.7219417202803	1965.9163829722895
1969.0442840787289	0.5144413807904584	trials	200715TX	p57	Z08115	66	21.0	2.0	1969.194284078729	1969.4087254595192
1969.4745668493242	0.49444125200943745	trials	200715TX	p57	Z08115	41	13.0	1.0	1969.6245668493243	1969.8190081013336
1969.904889620177	0.49444125200943745	trials	200715TX	p57	Z08115	59	19.0	1.0	1970.0548896201772	1970.2493308721864
1970.3151722619914	0.4944012517516967	trials	200715TX	p57	Z08115	78	25.0	2.0	1970.4651722619915	1970.659573513743
1970.7454550325865	0.5244414451810826	trials	200715TX	p57	Z08115	102	33.0	2.0	1970.8954550325866	1971.1198964777675
1971.1757378031818	0.49444125200943745	trials	200715TX	p57	Z08115	106	35.0	0.0	1971.325737803182	1971.5201790551912
1971.5760203806055	0.5044413163998342	trials	200715TX	p57	Z08115	6	1.0	2.0	1971.7260203806056	1971.9304616970053
1972.0163032155913	0.49444125200943745	trials	200715TX	p57	Z08115	20	6.0	1.0	1972.1663032155914	1972.3607444676006
1975.468645445259	0.5144413807904584	trials	200715TX	p57	Z08115	37	12.0	0.0	1975.618645445259	1975.8330868260493
1975.9089682805024	0.4944412520092101	trials	200715TX	p57	Z08115	104	34.0	1.0	1976.0589682805025	1976.2534095325116
1976.309250857926	0.5244414451810826	trials	200715TX	p57	Z08115	94	31.0	0.0	1976.459250857926	1976.683692303107
1976.7595337573023	0.49444125200943745	trials	200715TX	p57	Z08115	72	23.0	2.0	1976.9095337573024	1977.1039750093116
1977.1998565925458	0.4944012517516967	trials	200715TX	p57	Z08115	83	27.0	1.0	1977.3498565925458	1977.5442578442974
1977.6301393631409	0.49444125200943745	trials	200715TX	p57	Z08115	82	27.0	0.0	1977.780139363141	1977.9745806151502
1978.0504220693456	0.49444125200943745	trials	200715TX	p57	Z08115	92	30.0	1.0	1978.2004220693457	1978.394863321355
1978.4506646465118	0.524481445438596	trials	200715TX	p57	Z08115	99	32.0	2.0	1978.6006646465119	1978.8251460919503
1982.013127585248	0.5044013161423209	trials	200715TX	p57	Z08115	51	16.0	2.0	1982.163127585248	1982.3675289013902
1982.4534104202337	0.49444125200943745	trials	200715TX	p57	Z08115	47	15.0	1.0	1982.6034104202338	1982.797851672243
1982.8536529973999	0.524481445438596	trials	200715TX	p57	Z08115	93	30.0	2.0	1983.0036529974	1983.2281344428384
1983.3039758970338	0.49444125200943745	trials	200715TX	p57	Z08115	81	26.0	2.0	1983.4539758970338	1983.648417149043
1983.7042584744574	0.5244414451808552	trials	200715TX	p57	Z08115	79	26.0	0.0	1983.8542584744575	1984.0786999196382
