onset	duration	nwb_table	ses_ID	pen_ID	sub_ID	cond_ID	stim_ID	rotation	luminance	pdOnTS	pdOffTS
1344.1804639209038	0.5069200174777961	trials	210514SL	p30	Z11111	301	0.0	180.0	12	1344.3304639209039	1344.5373839383815
1344.6207439580924	0.5369600200149307	trials	210514SL	p30	Z11111	39	8.0	90.0	4	1344.7707439580925	1345.0077039781072
1345.0610239952807	0.5270000191737836	trials	210514SL	p30	Z11111	254	13.0	0.0	12	1345.2110239952808	1345.4380240144544
1345.491344031628	0.5269600191702466	trials	210514SL	p30	Z11111	207	11.0	225.0	8	1345.641344031628	1345.868304050798
1345.941624069661	0.5370000200184677	trials	210514SL	p30	Z11111	60	14.0	135.0	4	1346.091624069661	1346.3286240896794
1346.4119441093867	0.526960019170474	trials	210514SL	p30	Z11111	295	9.0	135.0	12	1346.5619441093868	1346.788904128557
1346.8822641491124	0.526960019170474	trials	210514SL	p30	Z11111	227	1.0	315.0	8	1347.0322641491125	1347.2592241682828
1350.4546644508566	0.49696001663642164	trials	210514SL	p30	Z11111	69	8.0	180.0	4	1350.6046644508567	1350.801624467493
1350.8649444855112	0.526960019170474	trials	210514SL	p30	Z11111	101	10.0	270.0	4	1351.0149444855113	1351.2419045046815
1351.2952245218548	0.526960019170474	trials	210514SL	p30	Z11111	158	7.0	90.0	8	1351.445224521855	1351.6721845410252
1351.7355445590467	0.526960019170474	trials	210514SL	p30	Z11111	291	5.0	135.0	12	1351.8855445590468	1352.112504578217
1352.1958245979245	0.5370000200184677	trials	210514SL	p30	Z11111	178	12.0	135.0	8	1352.3458245979245	1352.5828246179428
1352.6661446376502	0.5270000191737836	trials	210514SL	p30	Z11111	123	2.0	0.0	8	1352.8161446376503	1353.0431446568239
1353.136464677376	0.526960019170474	trials	210514SL	p30	Z11111	326	10.0	225.0	12	1353.286464677376	1353.5134246965463
1356.8089449875733	0.5069600174813331	trials	210514SL	p30	Z11111	171	5.0	135.0	8	1356.9589449875734	1357.1659050050546
1357.249225024762	0.5270000191737836	trials	210514SL	p30	Z11111	343	12.0	270.0	12	1357.399225024762	1357.6262250439356
1357.7195450644876	0.5270000191737836	trials	210514SL	p30	Z11111	118	12.0	315.0	4	1357.8695450644877	1358.0965450836613
1358.1898651042134	0.526960019170474	trials	210514SL	p30	Z11111	269	13.0	45.0	12	1358.3398651042135	1358.5668251233838
1358.6501851430944	0.5369600200151581	trials	210514SL	p30	Z11111	12	11.0	0.0	4	1358.8001851430945	1359.0371451631095
1359.1205051828204	0.5369600200149307	trials	210514SL	p30	Z11111	267	11.0	45.0	12	1359.2705051828204	1359.5074652028352
1359.590825222546	0.526960019170474	trials	210514SL	p30	Z11111	164	13.0	90.0	8	1359.7408252225462	1359.9677852417165
1363.3633455411934	0.5069600174811058	trials	210514SL	p30	Z11111	226	0.0	315.0	8	1363.5133455411935	1363.7203055586745
1363.8036655783853	0.5369600200149307	trials	210514SL	p30	Z11111	51	5.0	135.0	4	1363.9536655783854	1364.1906255984002
1364.273985618111	0.526960019170474	trials	210514SL	p30	Z11111	355	9.0	315.0	12	1364.4239856181111	1364.6509456372814
1364.7443056578368	0.526960019170474	trials	210514SL	p30	Z11111	23	7.0	45.0	4	1364.8943056578369	1365.1212656770072
1365.1745856941805	0.5369600200151581	trials	210514SL	p30	Z11111	62	1.0	180.0	4	1365.3245856941805	1365.5615457141955
1365.6449057339064	0.526960019170474	trials	210514SL	p30	Z11111	5	4.0	0.0	4	1365.7949057339065	1366.0218657530768
1366.1152257736321	0.526960019170474	trials	210514SL	p30	Z11111	120	14.0	315.0	4	1366.2652257736322	1366.4921857928025
1369.7876660838263	0.5069600174811058	trials	210514SL	p30	Z11111	0			0	1369.9376660838263	1370.1446261013073
1370.227986121018	0.526960019170474	trials	210514SL	p30	Z11111	290	4.0	135.0	12	1370.377986121018	1370.6049461401883
1370.6582661573618	0.5369600200149307	trials	210514SL	p30	Z11111	358	12.0	315.0	12	1370.808266157362	1371.0452261773767
1371.1285861970875	0.5369600200151581	trials	210514SL	p30	Z11111	200	4.0	225.0	8	1371.2785861970876	1371.5155462171026
1371.5989062368133	0.526960019170474	trials	210514SL	p30	Z11111	156	5.0	90.0	8	1371.7489062368134	1371.9758662559836
1372.069226276539	0.526960019170474	trials	210514SL	p30	Z11111	173	7.0	135.0	8	1372.219226276539	1372.4461862957094
1372.539546316265	0.5269600191702466	trials	210514SL	p30	Z11111	245	4.0	0.0	12	1372.689546316265	1372.916506335435
1376.1219466188536	0.5069600174811058	trials	210514SL	p30	Z11111	253	12.0	0.0	12	1376.2719466188537	1376.4789066363346
1376.5522266551975	0.5069600174811058	trials	210514SL	p30	Z11111	329	13.0	225.0	12	1376.7022266551976	1376.9091866726785
1376.9825066915412	0.49696001663642164	trials	210514SL	p30	Z11111	134	13.0	0.0	8	1377.1325066915413	1377.3294667081775
1377.4028267270437	0.526960019170474	trials	210514SL	p30	Z11111	296	10.0	135.0	12	1377.5528267270438	1377.779786746214
1377.8731467667694	0.526960019170474	trials	210514SL	p30	Z11111	43	12.0	90.0	4	1378.0231467667695	1378.2501067859398
1378.3434268064918	0.5270000191737836	trials	210514SL	p30	Z11111	163	12.0	90.0	8	1378.493426806492	1378.7204268256655
1378.773746842839	0.496920016633112	trials	210514SL	p30	Z11111	335	4.0	270.0	12	1378.9237468428391	1379.120666859472
1382.3461471445833	0.5169600183257899	trials	210514SL	p30	Z11111	189	8.0	180.0	8	1382.4961471445833	1382.713107162909
1382.7664271800822	0.5369600200151581	trials	210514SL	p30	Z11111	121	0.0	0.0	8	1382.9164271800823	1383.1533872000973
1383.2067072172708	0.526960019170474	trials	210514SL	p30	Z11111	198	2.0	225.0	8	1383.356707217271	1383.5836672364412
1383.6770272569966	0.526960019170474	trials	210514SL	p30	Z11111	258	2.0	45.0	12	1383.8270272569966	1384.053987276167
1384.1073072933402	0.5370000200184677	trials	210514SL	p30	Z11111	32	1.0	90.0	4	1384.2573072933403	1384.4943073133586
1384.577627333066	0.527000019174011	trials	210514SL	p30	Z11111	213	2.0	270.0	8	1384.727627333066	1384.9546273522399
1385.0079473694132	0.5369600200151581	trials	210514SL	p30	Z11111	44	13.0	90.0	4	1385.1579473694133	1385.3949073894282
1388.5303076669306	0.526960019170474	trials	210514SL	p30	Z11111	191	10.0	180.0	8	1388.6803076669307	1388.907267686101
1388.990627705812	0.5369600200151581	trials	210514SL	p30	Z11111	128	7.0	0.0	8	1389.140627705812	1389.377587725827
1389.4609077455343	0.5270000191737836	trials	210514SL	p30	Z11111	99	8.0	270.0	4	1389.6109077455344	1389.837907764708
1389.901227782726	0.526960019170474	trials	210514SL	p30	Z11111	308	7.0	180.0	12	1390.051227782726	1390.2781878018964
1390.3515478207626	0.526960019170474	trials	210514SL	p30	Z11111	331	0.0	270.0	12	1390.5015478207627	1390.728507839933
1390.7818278571062	0.526960019170474	trials	210514SL	p30	Z11111	104	13.0	270.0	4	1390.9318278571063	1391.1587878762766
1391.2221078942946	0.526960019170474	trials	210514SL	p30	Z11111	202	6.0	225.0	8	1391.3721078942947	1391.599067913465
1394.684428186741	0.5069600174811058	trials	210514SL	p30	Z11111	346	0.0	315.0	12	1394.834428186741	1395.041388204222
1395.0947082213954	0.49696001663642164	trials	210514SL	p30	Z11111	310	9.0	180.0	12	1395.2447082213955	1395.4416682380318
1395.5350282585873	0.5269600191702466	trials	210514SL	p30	Z11111	208	12.0	225.0	8	1395.6850282585874	1395.9119882777575
1396.005348298313	0.496920016633112	trials	210514SL	p30	Z11111	333	2.0	270.0	12	1396.1553482983131	1396.352268314946
1396.4356283346567	0.526960019170474	trials	210514SL	p30	Z11111	351	5.0	315.0	12	1396.5856283346568	1396.812588353827
1396.9059483743824	0.526960019170474	trials	210514SL	p30	Z11111	298	12.0	135.0	12	1397.0559483743825	1397.2829083935528
1397.3362284107263	0.5369600200149307	trials	210514SL	p30	Z11111	264	8.0	45.0	12	1397.4862284107264	1397.7231884307412
1400.8886287107812	0.5069600174811058	trials	210514SL	p30	Z11111	203	7.0	225.0	8	1401.0386287107813	1401.2455887282622
1401.3189087471249	0.5169600183257899	trials	210514SL	p30	Z11111	185	4.0	180.0	8	1401.468908747125	1401.6858687654506
1401.7692287851614	0.5369600200151581	trials	210514SL	p30	Z11111	136	0.0	45.0	8	1401.9192287851615	1402.1561888051765
1402.2395088248838	0.5370000200184677	trials	210514SL	p30	Z11111	233	7.0	315.0	8	1402.389508824884	1402.6265088449022
1402.7098288646096	0.5270000191737836	trials	210514SL	p30	Z11111	353	7.0	315.0	12	1402.8598288646097	1403.0868288837833
1403.1801489043353	0.5270000191737836	trials	210514SL	p30	Z11111	20	4.0	45.0	4	1403.3301489043354	1403.557148923509
1403.6404689432163	0.5369600200151581	trials	210514SL	p30	Z11111	302	1.0	180.0	12	1403.7904689432164	1404.0274289632314
1407.1828692424267	0.5069600174811058	trials	210514SL	p30	Z11111	131	10.0	0.0	8	1407.3328692424268	1407.5398292599077
1407.623149279615	0.5369600200151581	trials	210514SL	p30	Z11111	177	11.0	135.0	8	1407.7731492796152	1408.0101092996301
1408.0934693193408	0.526960019170474	trials	210514SL	p30	Z11111	262	6.0	45.0	12	1408.2434693193409	1408.4704293385112
1408.5637893590665	0.526960019170474	trials	210514SL	p30	Z11111	192	11.0	180.0	8	1408.7137893590666	1408.940749378237
1409.0241093979478	0.5369600200151581	trials	210514SL	p30	Z11111	119	13.0	315.0	4	1409.1741093979479	1409.4110694179628
1409.4643894351361	0.526960019170474	trials	210514SL	p30	Z11111	84	8.0	225.0	4	1409.6143894351362	1409.8413494543065
